ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,10th choice,11th choice,12th choice
000801-00-0168, C01,C07,C04,,,,,,,,,
000801-00-0189, C01,C04,C11,,,,,,,,,
000801-00-0203, C01,,,,,,,,,,,
000801-00-0221, C01,C08,C06,C02,C04,C11,C07,C10,C05,C03,C12,C09
000801-00-0227, C01,C04,C05,C07,C11,,,,,,,
000801-00-0237, C01,C11,C04,C08,,,,,,,,
000801-00-0239, C01,C11,C04,,,,,,,,,
000801-00-0247, C01,C04,C02,C05,C07,,,,,,,
000801-00-0272, C01,C12,C10,C09,C06,,,,,,,
000801-00-0296, C01,C06,C11,,,,,,,,,
000801-00-0313, C01,C04,C05,C07,C11,,,,,,,
000801-00-0326, C01,C04,C08,C05,C11,,,,,,,
000801-00-0333, C01,,,,,,,,,,,
000801-00-0334, C01,C02,C09,C11,C08,C07,C12,C03,,,,
000801-00-0339, C01,C04,C08,C02,,,,,,,,
000801-00-0343, C01,,,,,,,,,,,
000801-00-0369, C01,C08,C06,C04,C02,C07,C12,C03,C11,C09,C05,C10
000801-00-0373, C01,C11,C02,,,,,,,,,
000801-00-0389, C01,C04,C08,,,,,,,,,
000801-00-0396, C01,,,,,,,,,,,
000801-00-0398, C01,C05,C10,C11,C12,,,,,,,
000801-00-0414, C01,C07,C06,,,,,,,,,
000801-00-0445, C01,C08,C04,C07,C02,C12,C11,C03,C05,,,
000801-00-0474, C01,C02,C10,C08,,,,,,,,
000801-00-0483, C01,C08,C04,C12,,,,,,,,
000801-00-0484, C01,C05,C04,C11,,,,,,,,
000801-00-0485, C01,C02,C07,C08,C12,C05,,,,,,
000801-00-0487, C01,C07,C04,C02,,,,,,,,
000801-00-0533, C01,,,,,,,,,,,
000801-00-0576, C01,,,,,,,,,,,
000801-00-0599, C01,C11,C03,C07,,,,,,,,
000801-00-0617, C01,C08,C04,C12,C10,C05,C02,,,,,
000801-00-0638, C01,C11,C07,C02,C05,C04,C03,C08,C12,C09,C10,C06
000801-00-0642, C01,C12,C09,C04,,,,,,,,
000801-00-0652, C01,C11,C07,C04,C05,,,,,,,
000801-00-0658, C01,C11,C03,C09,,,,,,,,
000801-00-0662, C01,C04,C05,C07,C11,,,,,,,
000801-00-0674, C01,C09,C04,C02,C11,,,,,,,
000801-00-0677, C01,C08,C02,C11,,,,,,,,
000801-00-0684, C01,,,,,,,,,,,
000801-00-0689, C01,C02,C05,C06,C07,C09,C10,C04,C08,C11,C12,C03
000801-00-0702, C01,C07,,,,,,,,,,
000801-00-0720, C01,C04,C07,C11,C02,C06,C10,,,,,
000801-00-0748, C01,C04,C09,,,,,,,,,
000801-00-0757, C01,C02,C09,C11,C04,C08,C06,,,,,
000801-00-0763, C01,C04,C07,C10,C11,,,,,,,
000801-00-0786, C01,C11,C08,,,,,,,,,
000801-00-0787, C01,C07,C12,C11,,,,,,,,
000801-00-0842, C01,C08,C06,C04,,,,,,,,
000801-00-0862, C01,C04,C11,,,,,,,,,
000801-00-0064, C01,C04,C03,C08,C07,C02,C06,WI01,,,,
000101-00-0005, C01,C03,C05,C04,,,,,,,,
000101-00-0008, C01,C08,C06,C02,,,,,,,,
000101-00-0027, C01,C09,C03,,,,,,,,,
000101-00-0040, C01,,,,,,,,,,,
000101-00-0070, C01,C11,C07,C04,C05,C02,C06,C10,,,,
000101-00-0076, C01,C08,C06,C04,,,,,,,,
000101-00-0127, C01,C07,C02,C08,C06,C05,C12,,,,,
000101-00-0166, C01,C02,C04,,,,,,,,,
000101-00-0200, C01,C09,C10,C11,C05,C02,C08,C12,,,,
000101-00-0221, C01,C04,C05,C07,C11,,,,,,,
000101-00-0309, C01,C04,C07,,,,,,,,,
000101-00-0343, C01,C08,C11,C07,C04,,,,,,,
000101-00-0351, C01,C08,C04,C03,,,,,,,,
000101-00-0372, C01,C04,C05,C07,C11,,,,,,,
000101-00-0374, C01,C10,C02,C09,C04,,,,,,,
000101-00-0421, C01,C02,C04,C07,C08,C09,C06,C10,C11,C12,C05,C03
000101-00-0495, C01,C11,,,,,,,,,,
000101-00-0498, C01,C05,C11,C04,C07,,,,,,,
000101-00-0511, C01,,,,,,,,,,,
000101-00-0532, C01,C04,C09,,,,,,,,,
000101-00-0564, C01,C08,C04,,,,,,,,,
000101-00-0584, C01,C04,C10,C03,C02,C12,C07,C08,C11,C09,C05,C06
000101-00-0620, C01,C02,C08,C09,C12,,,,,,,
000101-00-0643, C01,C08,C06,,,,,,,,,
000101-00-0651, C01,,,,,,,,,,,
000101-00-0679, C01,C09,C03,C08,C02,C06,,,,,,
000101-00-0687, C01,C04,C05,C07,C11,C12,,,,,,
000101-00-0690, C01,C04,C05,C07,C11,,,,,,,
000101-00-0692, C01,C06,C11,,,,,,,,,
000101-00-0704, C01,C04,C08,C07,C06,C09,,,,,,
000101-00-0713, C01,C07,C04,C06,C10,C11,,,,,,
000101-00-0751, C01,C04,C07,C11,C12,C02,,,,,,
000101-00-0774, C01,C02,C03,C04,C07,C11,,,,,,
000101-00-0777, C01,C02,C11,C06,,,,,,,,
000101-00-0790, C01,C07,,,,,,,,,,
000101-00-0793, C01,C04,C07,C08,,,,,,,,
000101-00-0810, C01,C02,C04,C08,C07,C03,,,,,,
000101-00-0842, C01,C02,C05,,,,,,,,,
000101-00-0890, C01,C08,C06,C04,,,,,,,,
000101-00-0948, C01,C06,C02,C05,,,,,,,,
000101-00-0951, C01,C02,C06,C08,C10,C09,C04,C03,,,,
000101-00-0961, C01,C04,C05,,,,,,,,,
000101-00-0985, C01,,,,,,,,,,,
000101-00-1012, C01,C02,,,,,,,,,,
000101-00-1020, C01,C05,C11,,,,,,,,,
000101-00-1038, C01,,,,,,,,,,,
000101-00-1044, C01,C11,C03,C04,C12,C08,,,,,,
000101-00-1065, C01,C11,C08,C07,,,,,,,,
000101-00-0068, C01,C04,C07,C11,C12,C02,C06,C05,C03,C10,C09,C08
000503-00-0003, C01,C02,C07,C06,C08,,,,,,,
000503-00-0017, C01,C11,C04,,,,,,,,,
000503-00-0041, C01,C04,C08,C11,C06,,,,,,,
000503-00-0044, C01,C12,C07,C05,C04,,,,,,,
000503-00-0045, C01,C07,C06,C08,,,,,,,,
000503-00-0054, C01,C07,C11,,,,,,,,,
000503-00-0056, C01,C07,,,,,,,,,,
000503-00-0070, C01,C02,C11,C04,C07,C03,,,,,,
000503-00-0081, C01,C04,C12,C06,C05,C11,,,,,,
000503-00-0082, C01,C04,C12,C06,C05,C11,,,,,,
000503-00-0092, C01,C06,C07,C04,,,,,,,,
000503-00-0099, C01,C02,C04,C11,C12,C06,C05,C08,C07,,,
000503-00-0104, C01,C09,C03,C04,C11,,,,,,,
000503-00-0136, C01,C02,C10,,,,,,,,,
000503-00-0150, C01,C11,C07,C04,C05,C06,C10,C02,C08,C09,,
000503-00-0181, C01,C11,C02,C04,,,,,,,,
000503-00-0206, C01,C11,C04,C07,C05,C02,,,,,,
000503-00-0249, C01,,,,,,,,,,,
000503-00-0258, C01,C06,C07,C05,C09,C02,,,,,,
000503-00-0260, C01,C03,C04,C05,C06,C02,,,,,,
000503-00-0265, C01,C02,,,,,,,,,,
000503-00-0270, C01,C11,C07,,,,,,,,,
000503-00-0273, C01,C06,C08,,,,,,,,,
000503-00-0277, C01,C04,C05,C07,C11,,,,,,,
000503-00-0291, C01,,,,,,,,,,,
000503-00-0298, C01,C02,,,,,,,,,,
000503-00-0316, C01,C07,C09,C08,C11,C12,C02,C03,C04,C05,C10,C06
000503-00-0326, C01,C09,C08,,,,,,,,,
000503-00-0349, C01,C11,C07,C05,C04,C03,C02,,,,,
000503-00-0353, C01,C04,C03,C08,C09,C10,,,,,,
000503-00-0359, C01,C10,,,,,,,,,,
000503-00-0360, C01,C04,C06,C12,C09,C08,C07,C03,C02,C11,,
000503-00-0378, C01,C07,C05,C12,C10,,,,,,,
000503-00-0389, C01,C04,C07,C11,C08,C03,C02,C10,C12,C05,C06,C09
000503-00-0391, C01,C05,C08,C02,C04,C03,,,,,,
000503-00-0393, C01,C05,C08,C02,C07,C04,C09,,,,,
000503-00-0439, C01,C11,C06,,,,,,,,,
000503-00-0443, C01,C07,C04,C02,C08,C12,,,,,,
000503-00-0460, C01,C06,,,,,,,,,,
000503-00-0470, C01,C02,C04,C06,C07,,,,,,,
000503-00-0478, C01,C02,,,,,,,,,,
000503-00-0544, C01,C11,C04,C05,C07,,,,,,,
000503-00-0549, C01,,,,,,,,,,,
000503-00-0592, C01,C06,C05,C11,C04,C07,,,,,,
000503-00-0606, C01,,,,,,,,,,,
000503-00-0622, C01,C12,C04,C07,,,,,,,,
000503-00-0628, C01,C08,,,,,,,,,,
000503-00-0639, C01,C06,C11,,,,,,,,,
000503-00-0649, C01,C05,C03,,,,,,,,,
000503-00-0655, C01,C08,C11,C04,,,,,,,,
000503-00-0661, C01,C08,C04,C03,C11,C05,C07,C10,C12,,,
000503-00-0665, C01,C11,C07,C05,C04,,,,,,,
000503-00-0674, C01,C04,C07,C11,C02,C12,C03,C05,C06,C08,C09,C10
000503-00-0696, C01,C08,C04,C06,C09,C03,C11,C12,C10,,,
000503-00-0709, C01,C08,,,,,,,,,,
000503-00-0711, C01,C11,C05,,,,,,,,,
000503-00-0772, C01,C11,C05,C04,C07,,,,,,,
000503-00-0774, C01,C03,C08,C04,C02,,,,,,,
000503-00-0790, C01,C07,C04,C02,C03,C11,,,,,,
000503-00-0794, C01,C04,C03,C02,C11,C12,C05,,,,,
000503-00-0813, C01,C07,C04,C03,C02,C05,C06,C08,C09,C10,C11,C12
000503-00-0826, C01,,,,,,,,,,,
000503-00-0863, C01,C07,C12,,,,,,,,,
000503-00-0898, C01,,,,,,,,,,,
000503-00-0901, C01,C05,C02,,,,,,,,,
000503-00-0904, C01,C09,C08,C07,C02,C04,,,,,,
000503-00-0920, C01,C04,C05,C03,,,,,,,,
000503-00-0971, C01,C07,,,,,,,,,,
000503-00-0981, C01,C04,C05,C11,C07,,,,,,,
000503-00-0987, C01,C04,C07,C03,C11,C12,C10,C06,C08,C02,C09,
000503-00-0992, C01,,,,,,,,,,,
000503-00-1002, C01,C11,C04,,,,,,,,,
000503-00-1005, C01,C10,C11,C02,C08,C12,,,,,,
000503-00-1010, C01,C12,C03,C08,C04,,,,,,,
000503-00-1028, C01,C11,C07,C04,C05,,,,,,,
000503-00-1053, C01,C04,,,,,,,,,,
000503-00-1092, C01,C11,C04,C06,C08,,,,,,,
000503-00-1095, C01,,,,,,,,,,,
000503-00-1102, C01,,,,,,,,,,,
000503-00-1109, C01,C02,,,,,,,,,,
000503-00-1166, C01,C05,C11,C06,C07,C04,C10,,,,,
000503-00-1213, C01,C08,C03,C11,C06,,,,,,,
000503-00-1220, C01,C04,C12,C11,C07,C05,C09,C02,,,,
000503-00-1230, C01,C09,C06,C08,C11,C02,,,,,,
000503-00-1234, C01,C06,C08,C09,C02,C03,C04,,,,,
000503-00-1238, C01,C07,,,,,,,,,,
000202-00-0002, C01,C09,C04,C11,C03,,,,,,,
000202-00-0008, C01,C06,C04,C08,C10,,,,,,,
000202-00-0022, C01,C04,C11,C08,C07,C05,C12,C06,C03,,,
000202-00-0024, C01,C07,C02,C09,,,,,,,,
000202-00-0051, C01,C02,C10,C06,C08,C11,,,,,,
000202-00-0135, C01,,,,,,,,,,,
000202-00-0143, C01,C04,C05,,,,,,,,,
000202-00-0155, C01,C04,C07,C05,C10,C08,,,,,,
000202-00-0159, C01,C11,C04,C07,C05,,,,,,,
000202-00-0184, C01,C04,C02,,,,,,,,,
000202-00-0207, C01,C02,C09,,,,,,,,,
000202-00-0210, C01,C06,C08,,,,,,,,,
000202-00-0221, C01,C11,C02,,,,,,,,,
000202-00-0235, C01,,,,,,,,,,,
000202-00-0243, C01,C04,C07,C11,,,,,,,,
000202-00-0265, C01,C04,C07,C11,C06,,,,,,,
000202-00-0269, C01,C08,C02,,,,,,,,,
000202-00-0276, C01,C04,C06,,,,,,,,,
000102-00-0006, C01,C05,C07,C11,C04,,,,,,,
000102-00-0008, C01,C08,C06,C09,,,,,,,,
000102-00-0022, C01,C02,C07,C04,C08,C12,,,,,,
000102-00-0079, C01,C11,C04,C07,C02,C06,C10,C03,C08,C12,C05,C09
000102-00-0111, C01,C04,C06,C02,C08,C07,C11,C03,,,,
000102-00-0113, C01,C06,,,,,,,,,,
000102-00-0147, C01,C12,,,,,,,,,,
000102-00-0154, C01,C07,C11,C04,C05,,,,,,,
000102-00-0158, C01,C04,C11,C07,C02,C12,,,,,,
000102-00-0173, C01,C05,C07,C11,,,,,,,,
000102-00-0210, C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12
000102-00-0239, C01,C11,C04,C07,C05,C10,C03,C02,,,,
000102-00-0274, C01,C08,C06,C02,C12,,,,,,,
000102-00-0295, C01,C11,,,,,,,,,,
000102-00-0298, C01,C11,C05,C08,C02,C06,C07,C04,C09,C10,C12,C03
000102-00-0346, C01,C11,C07,,,,,,,,,
000102-00-0393, C01,C11,C09,,,,,,,,,
000102-00-0404, C01,C04,C06,C02,,,,,,,,
000102-00-0480, C01,C11,C05,C04,C07,C02,C10,,,,,
000102-00-0503, C01,,,,,,,,,,,
000102-00-0536, C01,C04,C11,C02,C12,C08,,,,,,
000102-00-0542, C01,C04,C02,C03,C10,C08,,,,,,
000102-00-0573, C01,C12,C07,,,,,,,,,
000102-00-0584, C01,C11,C07,C05,,,,,,,,
000102-00-0616, C01,C03,C04,C06,C08,C11,C02,,,,,
000102-00-0681, C01,C04,C03,C06,C12,C09,,,,,,
000102-00-0825, C01,C07,C03,,,,,,,,,
000102-00-0832, C01,C07,C04,C11,C02,C06,,,,,,
000102-00-0887, C01,C04,C11,,,,,,,,,
000102-00-0900, C01,C08,C11,C05,,,,,,,,
000102-00-0927, C01,C04,C05,C07,C11,C02,,,,,,
000102-00-0935, C01,C11,C04,C10,C07,C02,,,,,,
000102-00-0970, C01,C06,C07,C10,,,,,,,,
000102-00-0972, C01,C06,C07,C10,,,,,,,,
000102-00-0986, C01,C06,C02,C08,C04,,,,,,,
000102-00-1004, C01,C11,C06,C07,,,,,,,,
000102-00-1013, C01,C04,C11,C07,C02,C06,C05,C09,,,,
000102-00-1023, C01,C03,C02,,,,,,,,,
000102-00-1043, C01,C08,C06,C11,,,,,,,,
000102-00-1044, C01,C11,C08,C06,,,,,,,,
000102-00-1061, C01,C04,C05,C07,C11,,,,,,,
000102-00-1068, C01,C03,C10,C11,C04,C06,C12,C02,,,,
000102-00-1075, C01,C04,C05,C07,C10,C11,C02,C03,C08,,,
000102-00-1077, C01,C03,C10,C11,C04,C06,C12,C02,,,,
000102-00-1079, C01,C04,C06,C12,,,,,,,,
000102-00-1182, C01,C11,C05,C03,,,,,,,,
000102-00-1184, C01,,,,,,,,,,,
000102-00-1194, C01,,,,,,,,,,,
000102-00-1211, C01,C04,C05,C07,C11,C03,C06,C08,C09,C10,C12,C02
000401-00-0003, C01,C08,C06,C11,C02,C07,,,,,,
000401-00-0007, C01,C07,C04,C02,C03,C06,C11,C12,,,,
000401-00-0020, C01,C03,C02,C08,,,,,,,,
000401-00-0027, C01,C02,C11,,,,,,,,,
000401-00-0051, C01,C02,C04,C07,C11,,,,,,,
000401-00-0079, C01,C04,C08,C06,C11,C12,C03,,,,,
000401-00-0127, C01,C08,C03,C04,C12,C02,,,,,,
000401-00-0149, C01,C02,C08,C04,,,,,,,,
000401-00-0168, C01,C03,C04,C11,,,,,,,,
000401-00-0170, C01,C04,C11,C05,,,,,,,,
000401-00-0177, C01,C07,C09,,,,,,,,,
000401-00-0180, C01,,,,,,,,,,,
000401-00-0182, C01,C08,C04,C06,C05,,,,,,,
000401-00-0191, C01,C09,C06,C02,C10,C04,C07,,,,,
000401-00-0194, C01,C11,C07,C06,C04,C02,,,,,,
000401-00-0212, C01,C08,C04,C12,C11,C10,,,,,,
000401-00-0221, C01,C05,,,,,,,,,,
000401-00-0248, C01,C02,C11,C04,C07,C05,C09,C10,C06,C08,C12,C03
000401-00-0256, C01,C05,,,,,,,,,,
000401-00-0339, C01,C04,C02,C06,,,,,,,,
000401-00-0347, C01,C05,C08,C02,,,,,,,,
000401-00-0358, C01,C02,C07,C11,,,,,,,,
000401-00-0362, C01,C08,C11,C02,C03,,,,,,,
000401-00-0388, C01,C07,,,,,,,,,,
000401-00-0399, C01,C07,C06,,,,,,,,,
000401-00-0401, C01,C04,C07,C11,C02,C03,C05,C06,,,,
000401-00-0408, C01,C07,C06,C09,C05,C03,,,,,,
000401-00-0410, C01,C02,C07,,,,,,,,,
000401-00-0412, C01,C07,C06,C09,C05,C03,,,,,,
000401-00-0421, C01,C07,C06,C09,C02,,,,,,,
000401-00-0431, C01,,,,,,,,,,,
000401-00-0441, C01,C03,C08,C07,C11,C04,C02,C10,C12,,,
000401-00-0453, C01,C04,C07,C05,,,,,,,,
000401-00-0457, C01,C08,C04,C06,C02,,,,,,,
000401-00-0459, C01,C07,C11,,,,,,,,,
000401-00-0464, C01,,,,,,,,,,,
000401-00-0467, C01,C07,C08,,,,,,,,,
000401-00-0469, C01,C11,,,,,,,,,,
000401-00-0515, C01,,,,,,,,,,,
000401-00-0534, C01,C08,C06,C04,C11,C07,,,,,,
000401-00-0539, C01,C05,C08,,,,,,,,,
000401-00-0598, C01,C07,C11,C10,C03,C06,,,,,,
000401-00-0636, C01,C02,C06,,,,,,,,,
000401-00-0643, C01,C11,C08,C04,C02,C07,C06,,,,,
000401-00-0670, C01,,,,,,,,,,,
000401-00-0772, C01,C08,C03,,,,,,,,,
000401-00-0779, C01,C08,C11,C07,,,,,,,,
000401-00-0792, C01,,,,,,,,,,,
000401-00-0798, C01,C06,C07,,,,,,,,,
000401-00-0803, C01,C05,C02,C04,C07,,,,,,,
000401-00-0805, C01,C06,,,,,,,,,,
000401-00-0819, C01,C11,,,,,,,,,,
000401-00-0822, C01,C05,,,,,,,,,,
000401-00-0830, C01,C08,C11,C07,C06,C12,,,,,,
000401-00-0840, C01,C04,C07,C05,C11,,,,,,,
000401-00-0862, C01,C10,C06,C04,C03,,,,,,,
000401-00-0865, C01,C06,C07,,,,,,,,,
000401-00-0904, C01,C08,C09,,,,,,,,,
000401-00-0914, C01,,,,,,,,,,,
000401-00-0918, C01,C05,C11,,,,,,,,,
000401-00-0920, C01,C12,C04,C06,C11,C08,C09,C05,,,,
000401-00-0944, C01,,,,,,,,,,,
000401-00-0947, C01,C04,C07,C02,C05,C08,,,,,,
000401-00-0949, C01,,,,,,,,,,,
000401-00-0986, C01,C06,C07,C10,C11,C02,C04,C03,C05,C09,C08,C12
000401-00-0997, C01,C02,C04,C07,,,,,,,,
000401-00-1001, C01,,,,,,,,,,,
000401-00-1020, C01,C02,C04,C05,C10,C08,C11,,,,,
000401-00-1021, C01,C08,C06,C05,C11,C07,,,,,,
000401-00-1023, C01,C08,C06,C05,,,,,,,,
000401-00-1027, C01,C08,C06,C11,C05,C04,C07,C03,,,,
000401-00-1029, C01,C06,C08,C09,,,,,,,,
000401-00-1065, C01,C04,C05,C07,C11,,,,,,,
000401-00-1076, C01,C06,C11,C05,C04,,,,,,,
000401-00-1086, C01,C05,C07,C06,,,,,,,,
000401-00-1099, C01,C08,C11,C06,C02,C05,,,,,,
000401-00-1140, C01,C11,C05,C07,,,,,,,,
000401-00-1148, C01,C04,C07,C11,,,,,,,,
000401-00-1155, C01,C06,C03,C08,C10,C12,,,,,,
000401-00-1175, C01,C11,C07,C05,C04,C02,C06,,,,,
000401-00-1182, C01,C06,,,,,,,,,,
000401-00-1205, C01,C03,C06,C08,C10,C12,,,,,,
000401-00-1226, C01,C08,,,,,,,,,,
000401-00-1234, C01,C04,C02,,,,,,,,,
000401-00-1240, C01,C05,C04,C11,C07,C10,,,,,,
000401-00-1259, C01,C02,C03,C04,C07,,,,,,,
000401-00-1283, C01,,,,,,,,,,,
000401-00-1305, C01,C11,C03,C04,C09,,,,,,,
000401-00-1324, C01,,,,,,,,,,,
000401-00-1333, C01,C06,C11,C08,,,,,,,,
000401-00-1344, C01,C04,C06,C08,C11,C05,,,,,,
000401-00-1363, C01,C11,C04,C07,,,,,,,,
000401-00-1374, C01,,,,,,,,,,,
000401-00-1433, C01,,,,,,,,,,,
000401-00-1440, C01,C11,C07,C04,C05,C06,C03,C09,,,,
000401-00-1447, C01,,,,,,,,,,,
000401-00-1450, C01,C05,C06,,,,,,,,,
000401-00-1461, C01,C11,C03,,,,,,,,,
000401-00-1476, C01,C11,C06,,,,,,,,,
000401-00-1481, C01,C11,C05,C02,C09,,,,,,,
000401-00-1487, C01,,,,,,,,,,,
000401-00-1497, C01,C08,C12,,,,,,,,,
000401-00-1500, C01,C04,C05,C07,C11,,,,,,,
000401-00-1502, C01,C02,C12,C09,,,,,,,,
000401-00-1508, C01,C04,C07,C11,,,,,,,,
000401-00-1536, C01,C05,C06,C08,C03,,,,,,,
000401-00-0064, C01,C09,C06,C04,C03,C02,C07,C08,C12,C10,C11,
000401-00-0085, C01,C08,,,,,,,,,,
000401-00-0088, C01,C03,C07,C04,C02,WI01,,,,,,
001101-00-0017, C01,C04,C03,C11,C08,,,,,,,
001101-00-0051, C01,,,,,,,,,,,
001101-00-0062, C01,C03,C07,C11,,,,,,,,
001101-00-0101, C01,C08,C04,C02,C05,C10,,,,,,
001101-00-0109, C01,C02,C06,C11,,,,,,,,
001101-00-0121, C01,C12,,,,,,,,,,
001101-00-0123, C01,C12,,,,,,,,,,
001101-00-0143, C01,C04,C07,,,,,,,,,
001101-00-0157, C01,,,,,,,,,,,
001101-00-0165, C01,C09,C04,,,,,,,,,
001101-00-0166, C01,C11,C02,C07,,,,,,,,
001101-00-0186, C01,,,,,,,,,,,
001101-00-0190, C01,,,,,,,,,,,
001101-00-0206, C01,C09,C07,C06,C04,C12,C02,C03,C08,C05,C10,C11
001101-00-0246, C01,,,,,,,,,,,
001101-00-0250, C01,C11,C12,,,,,,,,,
001101-00-0264, C01,,,,,,,,,,,
001101-00-0279, C01,C02,C12,C07,,,,,,,,
001101-00-0283, C01,C07,C12,,,,,,,,,
001101-00-0289, C01,C05,C07,C11,C04,,,,,,,
001101-00-0303, C01,,,,,,,,,,,
001101-00-0319, C01,C12,C04,C02,C11,,,,,,,
001101-00-0325, C01,C04,C09,C07,C03,C08,,,,,,
001101-00-0333, C01,C11,C07,C04,C05,C02,,,,,,
001101-00-0340, C01,,,,,,,,,,,
001101-00-0345, C01,C06,C11,C05,C04,C07,,,,,,
001101-00-0351, C01,,,,,,,,,,,
001101-00-0367, C01,C04,C11,,,,,,,,,
001101-00-0385, C01,C05,C07,C03,C08,C11,C09,C10,C04,C02,C12,
001101-00-0404, C01,C04,C12,C08,C11,C05,C06,C07,C09,,,
001101-00-0409, C01,,,,,,,,,,,
001101-00-0411, C01,,,,,,,,,,,
001101-00-0417, C01,C07,C04,,,,,,,,,
001101-00-0419, C01,C06,C08,C12,C10,C09,C03,C02,C04,C05,C07,C11
001101-00-0423, C01,C11,C04,C05,C07,,,,,,,
001101-00-0458, C01,C08,C06,C04,C05,C07,C10,C02,C12,C09,C03,C11
001101-00-0466, C01,C06,C08,,,,,,,,,
001101-00-0477, C01,C11,C04,C07,C10,C02,C05,C08,C03,C12,C06,C09
001101-00-0484, C01,C06,C04,C05,C11,C02,C12,C08,C09,C10,,
001101-00-0517, C01,C07,C04,C11,,,,,,,,
001101-00-0522, C01,C07,C03,C11,,,,,,,,
001101-00-0534, C01,C04,C03,,,,,,,,,
001101-00-0540, C01,C11,C04,C07,C10,,,,,,,
001101-00-0577, C01,C06,C09,C11,,,,,,,,
001101-00-0583, C01,C05,C11,,,,,,,,,
001101-00-0598, C01,C07,C05,C11,C04,C09,C06,C02,C03,C10,C08,C12
001101-00-0611, C01,C06,C08,C09,,,,,,,,
001101-00-0622, C01,,,,,,,,,,,
001101-00-0634, C01,C08,C11,C04,C12,C02,,,,,,
001101-00-0636, C01,C11,C04,C05,C07,C09,C10,C12,C02,C03,C06,C08
001101-00-0638, C01,C07,C11,C09,C10,C03,C05,,,,,
001101-00-0666, C01,C04,C07,C11,,,,,,,,
001101-00-0667, C01,C11,C02,C04,C06,C07,C05,C12,C10,C09,C08,C03
001101-00-0668, C01,C11,,,,,,,,,,
001101-00-0699, C01,C11,C07,C04,C05,,,,,,,
001101-00-0709, C01,,,,,,,,,,,
001101-00-0712, C01,C07,C05,C04,C09,C11,C10,C06,C02,C03,C12,C08
001101-00-0720, C01,C08,,,,,,,,,,
001101-00-0739, C01,C11,C04,C05,C07,C06,,,,,,
001101-00-0779, C01,,,,,,,,,,,
001101-00-0781, C01,C06,C08,,,,,,,,,
001101-00-0794, C01,C11,C02,C05,C07,C08,C09,C04,C03,C10,,
001101-00-0804, C01,C05,C07,C08,C11,,,,,,,
001101-00-0807, C01,C07,C02,C04,C11,,,,,,,
001101-00-0813, C01,C08,,,,,,,,,,
001101-00-0825, C01,C05,C02,C07,,,,,,,,
001101-00-0826, C01,C09,,,,,,,,,,
001101-00-0847, C01,,,,,,,,,,,
001101-00-0849, C01,C05,C07,C09,,,,,,,,
001101-00-0875, C01,C04,C07,,,,,,,,,
001101-00-0878, C01,C02,C05,C11,C07,,,,,,,
001101-00-0880, C01,C04,C08,,,,,,,,,
001101-00-0907, C01,C11,C06,,,,,,,,,
001101-00-0916, C01,C11,C04,C05,C07,C09,C08,C06,C03,C02,C12,C10
001101-00-0920, C01,C04,C05,C06,C07,C08,,,,,,
001101-00-0939, C01,C04,C11,C07,,,,,,,,
001101-00-0960, C01,,,,,,,,,,,
001101-00-0970, C01,C07,C12,,,,,,,,,
001101-00-0980, C01,C11,C04,C05,C07,C02,C12,C03,,,,
001101-00-0996, C01,C02,C04,,,,,,,,,
001101-00-1033, C01,,,,,,,,,,,
001101-00-1035, C01,,,,,,,,,,,
001101-00-1045, C01,,,,,,,,,,,
001101-00-1050, C01,C11,C06,C04,C07,C02,C03,C08,C09,C12,C10,C05
001101-00-1051, C01,C11,,,,,,,,,,
001101-00-1053, C01,,,,,,,,,,,
001101-00-1061, C01,C12,C11,C04,C07,,,,,,,
001101-00-1092, C01,,,,,,,,,,,
001101-00-1131, C01,C04,C07,C10,C11,C06,,,,,,
001101-00-0067, C01,C02,C05,C09,,,,,,,,
001101-00-0071, C01,C04,C07,,,,,,,,,
001101-00-0090, C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,,
001101-00-0102, C01,C11,,,,,,,,,,
001101-00-0106, C01,C11,C02,C10,C09,C08,C05,,,,,
001101-00-0114, C01,C11,WI01,C02,,,,,,,,
000701-00-0008, C01,C04,C07,C11,C03,,,,,,,
000701-00-0014, C01,C07,C11,C04,C02,C05,C09,,,,,
000701-00-0017, C01,C07,C11,C04,C05,C03,C12,C08,C09,C02,C10,C06
000701-00-0019, C01,C04,C08,C06,,,,,,,,
000701-00-0033, C01,C07,C04,C05,C11,C08,C12,C10,C02,C03,C09,C06
000701-00-0037, C01,C04,C05,C02,C03,C12,,,,,,
000701-00-0052, C01,C04,C05,C06,C02,C12,C11,C10,C08,C09,C03,C07
000701-00-0072, C01,,,,,,,,,,,
000701-00-0083, C01,C11,C04,C07,C02,C06,,,,,,
000701-00-0088, C01,C07,C04,,,,,,,,,
000701-00-0103, C01,C03,C12,C08,C10,,,,,,,
000701-00-0142, C01,C07,,,,,,,,,,
000701-00-0152, C01,C11,C07,,,,,,,,,
000701-00-0155, C01,C02,C05,C11,C10,,,,,,,
000701-00-0167, C01,C11,C04,C12,C02,,,,,,,
000701-00-0200, C01,C10,C12,C02,C11,C08,C07,C03,C04,,,
000701-00-0206, C01,,,,,,,,,,,
000701-00-0212, C01,C04,C07,C11,,,,,,,,
000701-00-0222, C01,C12,C11,C02,C08,C03,,,,,,
