ID,,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice
001003-00-0316, C03,C01,C09,C05,,,,,
001003-00-0318, C03,C07,C01,,,,,,
001003-00-0329, C03,C04,,,,,,,
001003-00-0331, C03,C06,,,,,,,
001003-00-0345, C03,C05,C06,C08,C09,,,,
001003-00-0346, C03,C05,C07,C08,C09,,,,
001003-00-0358, C03,C08,,,,,,,
001003-00-0359, C03,C01,,,,,,,
001003-00-0383, C03,C02,C06,,,,,,
001003-00-0384, C03,C09,C02,,,,,,
001003-00-0387, C03,C01,C06,C04,,,,,
001003-00-0392, C03,C05,C04,C09,C08,,,,
001003-00-0407, C03,C01,C06,,,,,,
001003-00-0410, C03,C06,C02,,,,,,
001003-00-0414, C03,C04,,,,,,,
001003-00-0418, C03,,,,,,,,
001003-00-0423, C03,C05,,,,,,,
001003-00-0426, C03,C06,C01,,,,,,
001003-00-0433, C03,C02,C01,C06,C05,,,,
001003-00-0452, C03,C04,C02,,,,,,
001003-00-0466, C03,C06,C04,C09,C01,C02,C08,C07,
001003-00-0481, C03,C01,C06,C07,,,,,
001003-00-0484, C03,C09,C08,C01,,,,,
001003-00-0489, C03,C06,C08,C02,,,,,
001003-00-0497, C03,,,,,,,,
001003-00-0502, C03,,,,,,,,
001003-00-0520, C03,,,,,,,,
001003-00-0522, C03,C04,C05,C06,C07,C08,C09,C01,C02
001003-00-0526, C03,C08,C09,,,,,,
001003-00-0528, C03,C06,C09,C07,C04,C02,C08,C01,C05
001003-00-0536, C03,C06,,,,,,,
001003-00-0538, C03,,,,,,,,
001003-00-0541, C03,,,,,,,,
001003-00-0545, C03,C09,,,,,,,
001003-00-0555, C03,C02,,,,,,,
001003-00-0561, C03,C09,C07,C06,C01,C08,C05,C04,C02
001003-00-0563, C03,C06,C05,C04,C02,C01,C09,C08,C07
001003-00-0566, C03,C02,C04,C01,C09,C05,,,
001003-00-0578, C03,C04,C01,,,,,,
001003-00-0591, C03,C08,C09,C04,C05,,,,
001003-00-0596, C03,C08,C05,,,,,,
001003-00-0608, C03,C04,C05,C08,C09,C01,,,
001003-00-0616, C03,C01,C02,C06,C09,C05,,,
001003-00-0620, C03,,,,,,,,
001003-00-0625, C03,,,,,,,,
001003-00-0626, C03,,,,,,,,
001003-00-0654, C03,C02,C01,C09,C08,C07,C06,C05,C04
001003-00-0659, C03,C07,C08,C04,C01,C02,C05,C09,C06
001003-00-0665, C03,C06,C07,C09,C01,C02,C04,C08,C05
001003-00-0112, C03,C06,C09,C01,C07,C08,WI01,C05,C04
000801-00-0041, C03,C05,C08,C01,,,,,
000801-00-0096, C03,C04,,,,,,,
000801-00-0197, C03,C05,C04,C08,,,,,
000801-00-0353, C03,C04,C08,,,,,,
000201-00-0001, C03,C09,,,,,,,
000201-00-0003, C03,C01,C02,,,,,,
000201-00-0007, C03,C04,C05,C08,C01,C02,,,
000201-00-0010, C03,C05,C06,,,,,,
000201-00-0012, C03,,,,,,,,
000201-00-0015, C03,C02,C01,,,,,,
000201-00-0017, C03,C04,,,,,,,
000201-00-0027, C03,,,,,,,,
000201-00-0034, C03,,,,,,,,
000201-00-0043, C03,C04,C09,C08,,,,,
000201-00-0044, C03,,,,,,,,
000201-00-0045, C03,C05,C09,C08,C04,C01,C07,C06,C02
000201-00-0048, C03,,,,,,,,
000201-00-0056, C03,C02,,,,,,,
000201-00-0060, C03,C08,C09,C02,C05,C04,C06,,
000201-00-0068, C03,C09,C04,,,,,,
000201-00-0071, C03,C01,,,,,,,
000201-00-0074, C03,,,,,,,,
000201-00-0082, C03,C08,C09,,,,,,
000201-00-0092, C03,C02,,,,,,,
000201-00-0099, C03,C09,,,,,,,
000201-00-0104, C03,C04,C05,C08,C01,C02,,,
000201-00-0107, C03,C06,,,,,,,
000201-00-0114, C03,C04,C08,C09,C01,,,,
000201-00-0115, C03,C04,C02,C09,,,,,
000201-00-0117, C03,C02,C01,C09,C08,C07,C05,C06,
000201-00-0121, C03,C02,,,,,,,
000201-00-0124, C03,,,,,,,,
000201-00-0125, C03,C09,C02,C08,C05,C01,C06,C04,C07
000201-00-0126, C03,C09,C04,C05,C08,C07,,,
000201-00-0138, C03,,,,,,,,
000201-00-0143, C03,C09,C08,C01,,,,,
000201-00-0147, C03,,,,,,,,
000201-00-0149, C03,,,,,,,,
000201-00-0150, C03,,,,,,,,
000201-00-0152, C03,,,,,,,,
000201-00-0156, C03,,,,,,,,
000201-00-0158, C03,,,,,,,,
000201-00-0160, C03,C06,C01,,,,,,
000201-00-0166, C03,C01,C05,,,,,,
000201-00-0167, C03,C06,C02,,,,,,
000201-00-0170, C03,C02,C01,,,,,,
000201-00-0175, C03,C02,C06,,,,,,
000201-00-0177, C03,C06,C09,C01,C02,C08,C07,C05,
000201-00-0184, C03,,,,,,,,
000201-00-0186, C03,,,,,,,,
000201-00-0188, C03,,,,,,,,
000201-00-0199, C03,C02,C01,C08,C05,C04,C06,C07,C09
000201-00-0200, C03,C02,C01,C08,C05,C04,C06,C07,
000201-00-0206, C03,,,,,,,,
000201-00-0208, C03,,,,,,,,
000201-00-0215, C03,,,,,,,,
000201-00-0217, C03,,,,,,,,
000201-00-0220, C03,C02,C06,,,,,,
000201-00-0224, C03,C06,C02,,,,,,
000201-00-0225, C03,,,,,,,,
000201-00-0227, C03,C06,C09,C01,C02,,,,
000201-00-0233, C03,,,,,,,,
000201-00-0236, C03,C02,C08,C01,C04,C05,C06,C07,C09
000201-00-0240, C03,C06,,,,,,,
000201-00-0241, C03,,,,,,,,
000201-00-0245, C03,,,,,,,,
000201-00-0248, C03,,,,,,,,
000201-00-0250, C03,C06,C07,C09,,,,,
000201-00-0252, C03,C08,,,,,,,
000201-00-0254, C03,C02,C06,,,,,,
000201-00-0256, C03,C04,C05,,,,,,
000201-00-0257, C03,C05,C06,C08,C09,C01,C02,,
000201-00-0262, C03,,,,,,,,
000201-00-0268, C03,C02,C07,C09,,,,,
000201-00-0274, C03,C06,C02,C09,,,,,
000201-00-0276, C03,C05,C01,,,,,,
000201-00-0277, C03,,,,,,,,
000201-00-0279, C03,,,,,,,,
000201-00-0285, C03,C01,C04,C08,,,,,
000201-00-0286, C03,C04,C06,,,,,,
000201-00-0287, C03,C08,C04,C01,C02,C05,,,
000201-00-0292, C03,C05,C02,,,,,,
000201-00-0294, C03,C04,C05,C06,C07,C08,C02,C01,C09
000201-00-0295, C03,C02,C01,C06,,,,,
000201-00-0297, C03,C02,C05,C06,,,,,
000201-00-0298, C03,C04,,,,,,,
000201-00-0299, C03,,,,,,,,
000201-00-0300, C03,C06,C09,,,,,,
000201-00-0302, C03,,,,,,,,
000201-00-0308, C03,C01,,,,,,,
000201-00-0310, C03,C09,C06,,,,,,
000201-00-0314, C03,C05,,,,,,,
000201-00-0318, C03,C07,C06,,,,,,
000201-00-0320, C03,C09,C06,,,,,,
000201-00-0321, C03,,,,,,,,
000201-00-0324, C03,,,,,,,,
000201-00-0326, C03,,,,,,,,
000201-00-0328, C03,C06,C05,,,,,,
000201-00-0332, C03,C04,,,,,,,
000201-00-0335, C03,C04,C05,C06,C07,C08,C09,C01,C02
000201-00-0340, C03,,,,,,,,
000201-00-0345, C03,,,,,,,,
000201-00-0349, C03,,,,,,,,
000201-00-0351, C03,,,,,,,,
000201-00-0352, C03,,,,,,,,
000201-00-0354, C03,C06,,,,,,,
000201-00-0363, C03,C02,C06,C01,C08,,,,
000201-00-0370, C03,C06,C02,C01,C07,C08,C09,C05,C04
000201-00-0385, C03,,,,,,,,
000201-00-0389, C03,C09,C02,,,,,,
000201-00-0392, C03,C02,C01,,,,,,
000201-00-0395, C03,,,,,,,,
000201-00-0397, C03,,,,,,,,
000201-00-0398, C03,C08,C09,C02,,,,,
000201-00-0400, C03,,,,,,,,
000201-00-0402, C03,,,,,,,,
000201-00-0407, C03,C01,C02,,,,,,
000201-00-0408, C03,,,,,,,,
000201-00-0411, C03,,,,,,,,
000201-00-0420, C03,C09,C06,,,,,,
000201-00-0422, C03,,,,,,,,
000201-00-0424, C03,C05,C01,,,,,,
000201-00-0425, C03,C02,C01,,,,,,
000201-00-0427, C03,C05,C02,,,,,,
000201-00-0433, C03,C08,C05,C02,,,,,
000201-00-0437, C03,,,,,,,,
000201-00-0441, C03,C04,C08,,,,,,
000201-00-0447, C03,C02,C04,C05,C06,C07,C08,C09,C01
000201-00-0450, C03,C06,,,,,,,
000201-00-0455, C03,C04,C08,C09,C07,C06,C05,C02,C01
000201-00-0456, C03,,,,,,,,
000201-00-0463, C03,C04,C05,C08,C01,C02,,,
000201-00-0467, C03,C02,C04,,,,,,
000201-00-0468, C03,C02,C01,,,,,,
000201-00-0469, C03,C02,C01,C07,C06,C08,C09,,
000201-00-0480, C03,,,,,,,,
000201-00-0485, C03,C04,C05,C06,C07,C08,C09,C01,C02
000201-00-0487, C03,,,,,,,,
000201-00-0489, C03,,,,,,,,
000201-00-0493, C03,C08,,,,,,,
000201-00-0496, C03,C02,C01,C06,,,,,
000201-00-0500, C03,,,,,,,,
000201-00-0504, C03,C06,C08,C01,C02,C04,C05,,
000201-00-0506, C03,,,,,,,,
000201-00-0509, C03,,,,,,,,
000201-00-0513, C03,,,,,,,,
000201-00-0518, C03,C06,C09,,,,,,
000201-00-0519, C03,C05,C02,C08,C04,C06,C01,C07,C09
000201-00-0521, C03,C05,C02,,,,,,
000201-00-0525, C03,,,,,,,,
000201-00-0529, C03,C02,C04,C01,,,,,
000201-00-0533, C03,C06,C09,C07,C05,C04,C01,C02,
000201-00-0535, C03,,,,,,,,
000201-00-0537, C03,C08,C04,,,,,,
000201-00-0548, C03,C09,C01,C06,C07,C02,,,
000201-00-0551, C03,C06,C01,,,,,,
000201-00-0567, C03,,,,,,,,
000201-00-0575, C03,C06,,,,,,,
000201-00-0577, C03,C09,C06,C04,,,,,
000201-00-0582, C03,C02,,,,,,,
000201-00-0584, C03,,,,,,,,
000201-00-0586, C03,C02,C06,C01,,,,,
000201-00-0591, C03,,,,,,,,
000201-00-0593, C03,C05,C04,,,,,,
000201-00-0595, C03,,,,,,,,
000201-00-0597, C03,,,,,,,,
000201-00-0601, C03,C08,C02,C01,C04,C05,C06,C09,C07
000201-00-0603, C03,C08,C09,C07,,,,,
000201-00-0605, C03,C01,C02,,,,,,
000201-00-0606, C03,C02,C09,,,,,,
000201-00-0609, C03,,,,,,,,
000201-00-0611, C03,,,,,,,,
000201-00-0613, C03,,,,,,,,
000201-00-0615, C03,,,,,,,,
000201-00-0619, C03,C06,,,,,,,
000201-00-0620, C03,C09,C01,C02,C04,C05,C07,C06,C08
000201-00-0630, C03,C09,,,,,,,
000201-00-0633, C03,C02,C01,C09,C08,C07,C06,C04,C05
000201-00-0635, C03,C06,C01,,,,,,
000201-00-0637, C03,C09,C04,,,,,,
000201-00-0644, C03,C02,C09,C05,C08,C01,,,
000201-00-0645, C03,C09,C02,C01,C06,C05,C07,C08,
000201-00-0647, C03,C05,,,,,,,
000201-00-0652, C03,C01,C09,C05,,,,,
000201-00-0658, C03,C02,C05,,,,,,
000201-00-0663, C03,C05,,,,,,,
000201-00-0665, C03,,,,,,,,
000201-00-0666, C03,C04,,,,,,,
000201-00-0671, C03,,,,,,,,
000201-00-0673, C03,C04,C09,,,,,,
000201-00-0674, C03,C01,C02,,,,,,
000201-00-0677, C03,C08,C05,C02,C01,,,,
000201-00-0678, C03,C08,C01,C02,C04,,,,
000201-00-0681, C03,C02,C05,,,,,,
000201-00-0682, C03,C04,C08,,,,,,
000201-00-0683, C03,,,,,,,,
000201-00-0687, C03,,,,,,,,
000201-00-0689, C03,,,,,,,,
000201-00-0691, C03,C06,C05,,,,,,
000201-00-0693, C03,,,,,,,,
000201-00-0697, C03,,,,,,,,
000201-00-0701, C03,C06,,,,,,,
000201-00-0703, C03,,,,,,,,
000201-00-0708, C03,,,,,,,,
000201-00-0711, C03,C02,C09,C06,C05,C04,,,
000201-00-0712, C03,,,,,,,,
000201-00-0714, C03,C02,,,,,,,
000201-00-0720, C03,,,,,,,,
000201-00-0722, C03,C08,C02,,,,,,
000201-00-0724, C03,C09,C06,C02,,,,,
000201-00-0728, C03,,,,,,,,
000201-00-0732, C03,C06,,,,,,,
000201-00-0734, C03,,,,,,,,
000201-00-0735, C03,,,,,,,,
000201-00-0737, C03,C02,C01,,,,,,
000201-00-0739, C03,,,,,,,,
000201-00-0742, C03,C05,C07,,,,,,
000201-00-0743, C03,,,,,,,,
000201-00-0745, C03,,,,,,,,
000201-00-0746, C03,,,,,,,,
000201-00-0748, C03,,,,,,,,
000201-00-0750, C03,C02,C06,,,,,,
000201-00-0753, C03,C06,C08,C09,C01,C02,C04,C05,C07
000201-00-0755, C03,C06,,,,,,,
000201-00-0757, C03,C01,C06,C02,,,,,
000201-00-0758, C03,C05,C04,C06,,,,,
000201-00-0764, C03,,,,,,,,
000201-00-0767, C03,C02,,,,,,,
000201-00-0775, C03,,,,,,,,
000201-00-0778, C03,C06,C07,,,,,,
000201-00-0780, C03,C06,,,,,,,
000201-00-0783, C03,,,,,,,,
000201-00-0785, C03,,,,,,,,
000201-00-0788, C03,C02,C08,,,,,,
000201-00-0789, C03,C09,C01,,,,,,
000201-00-0795, C03,,,,,,,,
000201-00-0801, C03,C01,,,,,,,
000201-00-0802, C03,,,,,,,,
000201-00-0809, C03,,,,,,,,
000201-00-0810, C03,,,,,,,,
000201-00-0812, C03,C04,C05,C06,C07,C08,C09,C01,C02
000201-00-0819, C03,C04,C09,,,,,,
000201-00-0821, C03,,,,,,,,
000201-00-0822, C03,C04,C05,C07,C06,C08,C01,C09,C02
000201-00-0823, C03,,,,,,,,
000201-00-0828, C03,C04,,,,,,,
000201-00-0829, C03,C06,,,,,,,
000201-00-0832, C03,C04,C08,C06,C02,C09,C07,C01,C05
000201-00-0834, C03,C07,C02,C01,C08,C05,C04,C06,C09
000201-00-0836, C03,C06,C07,,,,,,
000201-00-0837, C03,C02,C05,,,,,,
000201-00-0841, C03,C02,C08,,,,,,
000201-00-0844, C03,C08,C05,,,,,,
000201-00-0845, C03,,,,,,,,
000201-00-0848, C03,C08,C07,C06,C05,C09,C01,C02,C04
000201-00-0850, C03,C02,C08,C01,C09,C05,C04,,
000201-00-0852, C03,C04,C05,C06,C07,C08,C09,C01,C02
000201-00-0854, C03,C06,,,,,,,
000201-00-0856, C03,C02,C04,,,,,,
000201-00-0858, C03,C06,C09,,,,,,
000201-00-0860, C03,,,,,,,,
000201-00-0861, C03,,,,,,,,
000201-00-0863, C03,,,,,,,,
000201-00-0865, C03,,,,,,,,
000201-00-0868, C03,C05,C08,C04,C02,C01,,,
000201-00-0869, C03,C05,C08,C04,C02,C01,,,
000201-00-0871, C03,C09,C01,,,,,,
000201-00-0874, C03,,,,,,,,
000201-00-0876, C03,C04,C05,C08,C02,C01,C07,C06,C09
000201-00-0878, C03,C02,C08,C05,C04,C09,,,
000201-00-0885, C03,C05,C02,,,,,,
000201-00-0888, C03,C06,,,,,,,
000201-00-0890, C03,C01,,,,,,,
000201-00-0894, C03,C09,C01,C07,C06,,,,
000201-00-0089, C03,,,,,,,,
000201-00-0091, C03,C05,C09,C04,C06,,,,
000201-00-0092, C03,C01=C06,C02=C04=C05=C07=C08,C09,,,,,
000201-00-0094, C03,WI01,,,,,,,
000201-00-0096, C03,C08,C05,C04,C06,C07,C09,C01,C02
001103-00-0005, C03,C06,,,,,,,
001103-00-0025, C03,C06,C04,,,,,,
001103-00-0030, C03,C08,C05,C04,,,,,
001103-00-0040, C03,C06,C07,C09,,,,,
001103-00-0056, C03,C04,C08,C01,,,,,
001103-00-0064, C03,C06,C08,C05,C02,C01,C09,C07,C04
001103-00-0085, C03,,,,,,,,
001103-00-0094, C03,C09,C05,C08,,,,,
001103-00-0099, C03,C08,C09,C07,C04,C02,,,
001103-00-0112, C03,C04,C06,C05,C09,C02,,,
001103-00-0148, C03,C02,C09,,,,,,
001103-00-0152, C03,C04,C08,C09,,,,,
001103-00-0167, C03,,,,,,,,
001103-00-0179, C03,C09,C08,C05,C04,,,,
001103-00-0232, C03,C05,C08,C09,C01,,,,
001103-00-0233, C03,C01,C02,C07,C04,C08,C05,C09,C06
001103-00-0247, C03,C09,C04,,,,,,
001103-00-0282, C03,C02,C01,C07,C06,,,,
001103-00-0288, C03,C08,C02,C01,C07,C09,C05,C06,C04
001103-00-0311, C03,C08,,,,,,,
001103-00-0314, C03,C01,C04,,,,,,
001103-00-0320, C03,C04,C09,C05,C06,C08,,,
001103-00-0350, C03,,,,,,,,
001103-00-0367, C03,C06,C07,,,,,,
001103-00-0387, C03,C05,C07,C09,,,,,
001103-00-0394, C03,C02,C01,C04,,,,,
001103-00-0407, C03,C04,C09,C01,C06,,,,
001103-00-0418, C03,C02,C05,,,,,,
001103-00-0432, C03,C08,C09,,,,,,
001103-00-0436, C03,C06,C02,C01,C08,C04,C05,,
001103-00-0494, C03,,,,,,,,
001103-00-0508, C03,C06,C09,,,,,,
001103-00-0516, C03,C06,C08,C09,C04,,,,
001103-00-0562, C03,C09,C08,C01,C02,C04,C05,C06,C07
001103-00-0595, C03,C02,C08,C05,C04,C01,C09,C07,C06
001103-00-0635, C03,,,,,,,,
001103-00-0640, C03,C02,C05,C06,C08,C01,,,
001103-00-0641, C03,C06,C07,C09,,,,,
001103-00-0652, C03,,,,,,,,
001103-00-0660, C03,C01,C02,,,,,,
001103-00-0689, C03,C02,C01,,,,,,
001103-00-0724, C03,C08,C01,C02,,,,,
001103-00-0764, C03,C04,C09,,,,,,
001103-00-0772, C03,,,,,,,,
001103-00-0788, C03,C09,,,,,,,
001103-00-0789, C03,C09,C06,,,,,,
001103-00-0791, C03,C06,C07,C09,C02,C04,C05,C08,C01
001103-00-0795, C03,C01,C02,,,,,,
001103-00-0822, C03,C01,C06,C07,C02,,,,
001103-00-0826, C03,C07,C08,C09,C01,C06,C05,C04,C02
001103-00-0831, C03,C09,C01,C05,C08,C02,,,
001103-00-0867, C03,,,,,,,,
001103-00-0889, C03,C02,C09,C06,C08,C05,C04,C01,C07
001103-00-0913, C03,,,,,,,,
001103-00-0950, C03,C06,,,,,,,
001103-00-0953, C03,C06,,,,,,,
001103-00-0973, C03,C07,,,,,,,
001103-00-1006, C03,C07,,,,,,,
001103-00-1033, C03,C08,C01,C09,,,,,
001103-00-1051, C03,,,,,,,,
001103-00-1068, C03,C06,,,,,,,
001103-00-1090, C03,C06,,,,,,,
001103-00-1114, C03,C04,,,,,,,
001103-00-1116, C03,C01,,,,,,,
001103-00-1126, C03,C04,,,,,,,
001103-00-1137, C03,C06,C04,C01,C08,C05,C07,C09,C02
001103-00-1160, C03,C07,C01,C06,,,,,
001103-00-1227, C03,C01,C06,C05,C08,C04,C09,,
001103-00-1255, C03,C01,C02,,,,,,
001103-00-1270, C03,C06,C07,C09,,,,,
001103-00-1286, C03,C09,C05,C02,C04,C08,C06,C01,C07
001103-00-1297, C03,C08,C09,C05,C07,,,,
001103-00-1339, C03,C08,C04,C05,C01,C09,C06,,
001103-00-1340, C03,C08,,,,,,,
001103-00-1359, C03,C09,C08,C04,C02,C05,C01,,
001103-00-1373, C03,C02,C04,C01,C08,C07,C05,,
001103-00-1387, C03,C04,C05,C08,C09,C06,,,
001103-00-0273, C03,WI02,C08,C04,,,,,
000603-00-0092, C03,C09,C08,,,,,,
000603-00-0110, C03,C06,,,,,,,
000603-00-0114, C03,C01,C02,,,,,,
000603-00-0163, C03,C05,C04,C08,C09,,,,
000603-00-0165, C03,C07,C06,,,,,,
000603-00-0169, C03,C02,C09,,,,,,
000603-00-0172, C03,C04,C08,,,,,,
000603-00-0201, C03,C09,C04,C05,C08,,,,
000603-00-0204, C03,C04,C09,C05,C01,,,,
000603-00-0216, C03,C04,C02,,,,,,
000603-00-0221, C03,C04,C09,C08,,,,,
000603-00-0230, C03,C04,C05,C09,C08,C02,C01,,
000603-00-0277, C03,C08,C09,C06,C05,C04,C01,C02,C07
000603-00-0285, C03,C05,C04,C08,C09,,,,
000603-00-0329, C03,,,,,,,,
000603-00-0358, C03,C07,C04,C09,,,,,
000603-00-0390, C03,C04,C05,C08,C09,C01,,,
000603-00-0399, C03,C06,C07,,,,,,
000603-00-0433, C03,,,,,,,,
000603-00-0435, C03,C09,C05,,,,,,
000603-00-0469, C03,C05,C08,,,,,,
000603-00-0476, C03,C06,C07,C09,,,,,
000603-00-0506, C03,C09,C02,C08,C04,,,,
000603-00-0510, C03,C09,C06,C07,C08,C01,C02,C04,C05
000603-00-0511, C03,C04,C08,,,,,,
000603-00-0521, C03,C04,,,,,,,
000603-00-0525, C03,C05,C07,C09,,,,,
000603-00-0527, C03,,,,,,,,
000603-00-0592, C03,,,,,,,,
000603-00-0646, C03,C04,C06,,,,,,
000603-00-0650, C03,C04,C05,C08,C09,,,,
000603-00-0669, C03,,,,,,,,
000603-00-0678, C03,C04,C05,,,,,,
000603-00-0781, C03,C05,,,,,,,
000603-00-0808, C03,C06,C07,C09,C04,,,,
000603-00-0810, C03,C09,C01,C02,C06,,,,
000603-00-0818, C03,C05,C02,C09,,,,,
000603-00-0840, C03,C06,C07,C09,,,,,
000603-00-0883, C03,C02,C08,,,,,,
000603-00-0895, C03,C08,C06,,,,,,
000603-00-0933, C03,,,,,,,,
000803-00-0004, C03,C08,C06,,,,,,
000803-00-0027, C03,C08,,,,,,,
001002-00-0001, C03,C08,,,,,,,
001002-00-0033, C03,C04,C09,C08,,,,,
001002-00-0061, C03,,,,,,,,
001002-00-0085, C03,C02,C04,,,,,,
001002-00-0098, C03,C01,C08,,,,,,
001002-00-0164, C03,C07,C09,,,,,,
001002-00-0199, C03,C04,C07,C09,C06,,,,
001002-00-0208, C03,C08,C05,C02,C07,C09,C01,C04,C06
001002-00-0235, C03,C04,C05,,,,,,
001002-00-0307, C03,,,,,,,,
001002-00-0333, C03,C04,C08,C09,C02,C07,C05,C01,
001002-00-0337, C03,C09,,,,,,,
001002-00-0447, C03,C04,C05,C08,,,,,
001002-00-0493, C03,C09,C06,C07,,,,,
001002-00-0581, C03,C08,C05,C09,,,,,
001002-00-0585, C03,C09,C08,C05,C02,C01,C06,C04,C07
001002-00-0595, C03,C05,C09,C08,C02,C04,C01,,
001002-00-0613, C03,,,,,,,,
001002-00-0634, C03,,,,,,,,
001002-00-0733, C03,C04,C05,C08,C09,,,,
001002-00-0751, C03,C05,C09,C04,,,,,
001002-00-0752, C03,C09,C05,C04,C08,C02,C07,,
001002-00-0753, C03,C04,C05,C08,,,,,
001002-00-0808, C03,C06,C07,C01,C02,C08,C05,C04,C09
001002-00-0847, C03,C06,C07,C01,C02,C04,,,
001002-00-0857, C03,C08,C02,,,,,,
001002-00-0897, C03,C06,C01,C02,,,,,
001002-00-0982, C03,C08,C05,C04,,,,,
001002-00-0983, C03,C08,C09,C05,C04,C07,,,
001002-00-1005, C03,C08,C09,C04,,,,,
001002-00-1048, C03,C05,C06,C04,C02,C07,C08,C01,C09
001002-00-1149, C03,,,,,,,,
001002-00-1151, C03,,,,,,,,
000301-00-0029, C03,C04,C09,C07,C02,C08,C05,,
000301-00-0030, C03,C05,C04,C08,,,,,
000301-00-0032, C03,C05,C09,C08,C02,,,,
000301-00-0035, C03,C08,C04,,,,,,
000301-00-0046, C03,C05,C04,C02,C01,C08,,,
000301-00-0059, C03,,,,,,,,
000301-00-0095, C03,C04,C06,C09,C08,C02,C01,,
000301-00-0114, C03,C08,C09,C04,,,,,
000301-00-0146, C03,,,,,,,,
000301-00-0148, C03,,,,,,,,
000301-00-0155, C03,C06,C07,C09,,,,,
000301-00-0161, C03,,,,,,,,
000301-00-0163, C03,C09,C01,,,,,,
000301-00-0193, C03,C09,C07,C06,C04,C05,,,
000301-00-0237, C03,C02,C04,,,,,,
000301-00-0240, C03,C09,C01,C05,C08,,,,
000301-00-0248, C03,C04,,,,,,,
000301-00-0291, C03,C02,C05,C06,C08,C09,C01,C07,C04
000301-00-0297, C03,C06,C05,C04,C02,C01,C07,C08,
000301-00-0354, C03,C08,C09,C02,C05,C01,,,
000301-00-0356, C03,C08,C02,,,,,,
000301-00-0381, C03,C04,C01,C08,C09,,,,
000301-00-0383, C03,C02,,,,,,,
000301-00-0385, C03,C06,C01,C07,,,,,
000301-00-0388, C03,C01,C06,C02,,,,,
000301-00-0397, C03,C01,C02,C04,C05,C08,,,
000301-00-0445, C03,,,,,,,,
000301-00-0447, C03,C02,C01,C07,,,,,
000301-00-0461, C03,C01,C09,,,,,,
000301-00-0467, C03,,,,,,,,
000301-00-0480, C03,,,,,,,,
000301-00-0575, C03,,,,,,,,
000301-00-0582, C03,,,,,,,,
000301-00-0585, C03,C02,,,,,,,
000301-00-0597, C03,,,,,,,,
000301-00-0634, C03,C09,C01,,,,,,
000301-00-0670, C03,C02,C01,,,,,,
000301-00-0702, C03,C01,C08,C06,,,,,
000301-00-0727, C03,C08,C07,C01,C05,C09,C06,C02,C04
000301-00-0731, C03,,,,,,,,
000301-00-0744, C03,,,,,,,,
000301-00-0764, C03,C09,,,,,,,
000301-00-0791, C03,C09,C06,C01,C04,C05,C08,C07,C02
000301-00-0814, C03,C08,C04,,,,,,
000301-00-0825, C03,C01,C09,,,,,,
000301-00-0835, C03,C06,C02,,,,,,
000301-00-0068, C03,C01,C04,C02,WI01,,,,
000701-00-0031, C03,C06,C07,,,,,,
000701-00-0044, C03,C08,C06,,,,,,
000701-00-0061, C03,C01,C02,C07,,,,,
000701-00-0068, C03,C05,C04,,,,,,
000701-00-0115, C03,C09,C08,C05,C04,C07,,,
000701-00-0198, C03,C04,C05,,,,,,
000701-00-0203, C03,C04,C09,,,,,,
000701-00-0211, C03,C08,C04,C09,C05,,,,
000701-00-0233, C03,C09,C08,,,,,,
000701-00-0302, C03,C09,C05,C06,C08,,,,
000701-00-0305, C03,C05,C08,C06,,,,,
000701-00-0330, C03,C09,C08,C04,C05,,,,
000701-00-0331, C03,C07,C06,C01,,,,,
000701-00-0339, C03,C05,C04,C09,C08,C07,,,
000701-00-0343, C03,C09,C04,,,,,,
000701-00-0356, C03,C01,C02,C04,C05,C08,,,
000701-00-0418, C03,C05,C04,,,,,,
000701-00-0424, C03,C08,C09,C01,,,,,
000701-00-0425, C03,C08,C01,C09,C02,C07,C06,C05,C04
000701-00-0426, C03,C01,C08,,,,,,
000701-00-0469, C03,C09,C07,C04,C05,,,,
000701-00-0504, C03,C05,C08,C01,,,,,
000701-00-0518, C03,C04,C05,,,,,,
000701-00-0544, C03,C06,,,,,,,
000701-00-0546, C03,C04,C05,C01,,,,,
000701-00-0557, C03,C07,C04,C05,,,,,
000701-00-0614, C03,C09,C07,C04,C05,,,,
000701-00-0617, C03,C05,C09,C06,C07,C02,C04,,
000701-00-0640, C03,C06,C01,,,,,,
000701-00-0641, C03,C06,C07,,,,,,
000701-00-0666, C03,C04,C05,C09,C08,,,,
000701-00-0693, C03,C05,C04,C07,C06,,,,
000701-00-0704, C03,C08,C02,,,,,,
000701-00-0758, C03,C08,C05,C04,C07,C01,C09,,
000701-00-0782, C03,C04,C08,,,,,,
000701-00-0796, C03,C04,C08,C05,,,,,
000701-00-0177, C03,C09,C05,WI01,,,,,
000102-00-0006, C03,,,,,,,,
000102-00-0037, C03,C02,C05,C06,C07,C08,C09,C01,C04
000102-00-0087, C03,C05,C08,,,,,,
000102-00-0092, C03,C04,C05,C09,C01,C02,C08,,
000102-00-0112, C03,C02,,,,,,,
000102-00-0120, C03,,,,,,,,
000102-00-0187, C03,C01,C09,C04,C05,,,,
000102-00-0234, C03,C04,C08,C05,C09,,,,
000102-00-0270, C03,C04,C05,C09,C01,C02,C08,,
000102-00-0414, C03,C02,C06,,,,,,
000102-00-0529, C03,C06,C07,,,,,,
000102-00-0551, C03,C06,C09,C07,,,,,
