ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice
000303-00-0831, C02,C08,C07,,,,,,
000303-00-0833, C02,C04,C08,,,,,,
000303-00-0858, C02,C04,,,,,,,
000303-00-0861, C02,C01,C08,C07,C03,C05,C09,C06,C04
000303-00-0920, C02,C03,C07,C08,C04,C09,,,
000303-00-0939, C02,C09,,,,,,,
000303-00-0941, C02,C07,C05,C01,C09,C08,C06,C04,C03
000303-00-0952, C02,C04,C09,C08,,,,,
000303-00-0988, C02,,,,,,,,
001102-00-0004, C02,C04,C08,C09,,,,,
001102-00-0006, C02,C09,C06,,,,,,
001102-00-0010, C02,C04,C03,,,,,,
001102-00-0013, C02,C03,C01,C09,C07,C08,C05,C04,
001102-00-0163, C02,C03,C08,C07,,,,,
001102-00-0196, C02,C01,C03,,,,,,
001102-00-0216, C02,C08,,,,,,,
001102-00-0221, C02,,,,,,,,
001102-00-0229, C02,C04,C05,C08,,,,,
001102-00-0234, C02,,,,,,,,
001102-00-0245, C02,C04,C03,C08,,,,,
001102-00-0263, C02,C03,C04,C09,,,,,
001102-00-0289, C02,C05,,,,,,,
001102-00-0315, C02,C08,C04,C09,C06,C01,C07,C05,C03
001102-00-0318, C02,C08,C07,C05,,,,,
001102-00-0325, C02,C04,C08,C09,C03,C06,,,
001102-00-0348, C02,C07,C08,C01,,,,,
001102-00-0350, C02,,,,,,,,
001102-00-0354, C02,,,,,,,,
001102-00-0359, C02,,,,,,,,
001102-00-0376, C02,C08,C07,C04,C09,C06,C01,C03,
001102-00-0377, C02,C01,C03,C05,C06,C07,C08,C09,
001102-00-0380, C02,C04,C08,C09,C03,C06,,,
001102-00-0383, C02,C04,C08,C09,C01,C03,C05,C06,C07
001102-00-0402, C02,,,,,,,,
001102-00-0404, C02,,,,,,,,
001102-00-0406, C02,C04,C07,,,,,,
001102-00-0407, C02,C04,,,,,,,
001102-00-0426, C02,C05,C08,,,,,,
001102-00-0432, C02,C04,,,,,,,
001102-00-0436, C02,C04,C08,,,,,,
001102-00-0445, C02,,,,,,,,
001102-00-0449, C02,,,,,,,,
001102-00-0459, C02,C08,C04,,,,,,
001102-00-0480, C02,C08,C03,C07,,,,,
001102-00-0482, C02,,,,,,,,
001102-00-0484, C02,,,,,,,,
001102-00-0485, C02,C04,C08,C09,,,,,
001102-00-0495, C02,C04,,,,,,,
001102-00-0499, C02,,,,,,,,
001102-00-0520, C02,,,,,,,,
001102-00-0530, C02,,,,,,,,
001102-00-0535, C02,C04,C09,C01,C06,,,,
001102-00-0536, C02,,,,,,,,
001102-00-0553, C02,C04,C07,,,,,,
001102-00-0555, C02,C07,,,,,,,
001102-00-0556, C02,,,,,,,,
001102-00-0563, C02,C08,C04,,,,,,
001102-00-0567, C02,C05,,,,,,,
001102-00-0574, C02,C08,C04,,,,,,
001102-00-0577, C02,C04,,,,,,,
001102-00-0580, C02,C04,C07,,,,,,
001102-00-0608, C02,C08,C07,,,,,,
001102-00-0612, C02,C04,C08,C09,C07,C01,C05,C06,
001102-00-0624, C02,C05,C06,C07,C08,C09,C01,,
001102-00-0669, C02,C08,C04,C09,,,,,
001102-00-0676, C02,,,,,,,,
001102-00-0680, C02,,,,,,,,
001102-00-0689, C02,C03,C07,,,,,,
001102-00-0705, C02,C03,,,,,,,
001102-00-0707, C02,,,,,,,,
001102-00-0712, C02,,,,,,,,
001102-00-0729, C02,,,,,,,,
001102-00-0732, C02,,,,,,,,
001102-00-0748, C02,,,,,,,,
001102-00-0766, C02,C04,C06,,,,,,
001102-00-0772, C02,C04,C08,C06,C05,C03,C09,C01,C07
001102-00-0807, C02,,,,,,,,
001102-00-0819, C02,C03,C09,C08,C07,C06,C01,,
001102-00-0823, C02,,,,,,,,
001102-00-0834, C02,,,,,,,,
001102-00-0843, C02,C09,C08,C04,C07,,,,
001102-00-0851, C02,C01,C03,,,,,,
001102-00-0856, C02,C08,C09,C06,C05,,,,
001102-00-0862, C02,C03,C01,,,,,,
001102-00-0875, C02,C04,C08,C07,C09,,,,
001102-00-0878, C02,C04,,,,,,,
001102-00-0885, C02,,,,,,,,
001102-00-0906, C02,C01,C04,C06,C09,C05,C08,C03,C07
001102-00-0941, C02,C04,,,,,,,
001102-00-0943, C02,C05,,,,,,,
001102-00-0966, C02,C08,,,,,,,
001102-00-0985, C02,,,,,,,,
001102-00-0986, C02,,,,,,,,
001102-00-0990, C02,C08,C04,C03,C05,C07,,,
001102-00-0991, C02,C04,,,,,,,
001102-00-0998, C02,C03,C04,C08,,,,,
001102-00-1011, C02,C06,C09,C04,C03,C08,,,
001102-00-1018, C02,C04,C08,,,,,,
001102-00-1022, C02,C03,C06,C04,C05,C01,C07,,
001102-00-1024, C02,C09,C03,,,,,,
001102-00-1025, C02,C09,C04,C05,,,,,
001102-00-1042, C02,,,,,,,,
001102-00-1050, C02,,,,,,,,
001102-00-1051, C02,C08,C04,,,,,,
001102-00-1053, C02,C03,C05,,,,,,
001102-00-1054, C02,C06,,,,,,,
001102-00-1065, C02,C06,,,,,,,
001102-00-1066, C02,,,,,,,,
001102-00-1087, C02,C08,C04,C07,C05,,,,
001102-00-1096, C02,C04,C08,,,,,,
001102-00-1130, C02,C03,C08,,,,,,
001102-00-1149, C02,C04,C08,C09,C03,C06,,,
001102-00-1169, C02,,,,,,,,
001102-00-1173, C02,C09,C03,C08,,,,,
001102-00-1184, C02,,,,,,,,
001102-00-1186, C02,C04,,,,,,,
001102-00-1188, C02,C06,C09,,,,,,
001102-00-1203, C02,C07,C06,C04,C09,,,,
001102-00-1206, C02,,,,,,,,
001102-00-1220, C02,C07,C08,C03,,,,,
001102-00-1223, C02,C03,C04,,,,,,
001102-00-1253, C02,,,,,,,,
001102-00-1274, C02,,,,,,,,
001102-00-1276, C02,C09,C08,C03,C01,C07,,,
001102-00-1281, C02,C03,,,,,,,
001102-00-1291, C02,C03,C09,C04,C01,C05,C06,C07,C08
001102-00-1334, C02,C09,C08,C04,,,,,
001102-00-1382, C02,,,,,,,,
001102-00-1391, C02,C03,C04,C08,,,,,
001102-00-1406, C02,C08,C03,,,,,,
001102-00-1439, C02,,,,,,,,
001102-00-1450, C02,C04,,,,,,,
001102-00-1454, C02,C04,C08,C09,C01,,,,
001102-00-1457, C02,,,,,,,,
001102-00-1470, C02,C07,C05,C04,C01,C08,C09,,
001102-00-1477, C02,C04,C05,,,,,,
001102-00-1521, C02,C03,C04,C09,,,,,
001102-00-1536, C02,C04,C03,,,,,,
001102-00-1540, C02,C04,C03,,,,,,
001102-00-1558, C02,C04,C03,,,,,,
001102-00-1566, C02,,,,,,,,
001102-00-1625, C02,C04,,,,,,,
001102-00-1655, C02,C04,,,,,,,
001102-00-1682, C02,C09,C01,C07,C03,,,,
001102-00-0078, C02,C03,C04,C07,C08,C09,,,
001102-00-0086, C02,C04,C07,,,,,,
001102-00-0092, C02,,,,,,,,
001102-00-0097, C02,C04,C03,,,,,,
001102-00-0099, C02,C03,C04,C05,C06,C07,C08,C09,C01
001102-00-0101, C02,,,,,,,,
001102-00-0104, C02,,,,,,,,
001102-00-0106, C02,C08,,,,,,,
001002-00-0027, C02,C04,,,,,,,
001002-00-0041, C02,C04,C08,C09,C07,C06,C05,C03,C01
001002-00-0063, C02,C08,C04,C09,,,,,
001002-00-0137, C02,C05,C03,,,,,,
001002-00-0146, C02,C03,C08,,,,,,
001002-00-0148, C02,C04,C08,,,,,,
001002-00-0175, C02,C04,,,,,,,
001002-00-0183, C02,C08,C06,,,,,,
001002-00-0200, C02,C08,C04,C09,,,,,
001002-00-0221, C02,C05,C04,,,,,,
001002-00-0298, C02,,,,,,,,
001002-00-0335, C02,C08,C09,C04,,,,,
001002-00-0347, C02,C05,C03,C08,C04,,,,
001002-00-0400, C02,,,,,,,,
001002-00-0420, C02,C09,C08,C03,,,,,
001002-00-0430, C02,C04,C07,,,,,,
001002-00-0473, C02,C08,C04,,,,,,
001002-00-0477, C02,C07,C08,,,,,,
001002-00-0504, C02,C03,C01,C04,C07,C08,,,
001002-00-0523, C02,C04,C05,C09,,,,,
001002-00-0524, C02,,,,,,,,
001002-00-0531, C02,C07,,,,,,,
001002-00-0575, C02,C03,C04,,,,,,
001002-00-0584, C02,C03,C04,C05,,,,,
001002-00-0594, C02,C04,C08,C09,C03,C07,,,
001002-00-0699, C02,C08,,,,,,,
001002-00-0746, C02,C08,C07,,,,,,
001002-00-0760, C02,C08,C09,C03,,,,,
001002-00-0770, C02,C08,C05,C06,,,,,
001002-00-0811, C02,C04,C07,C08,C01,C05,C03,,
001002-00-1015, C02,C08,C07,,,,,,
001002-00-1069, C02,,,,,,,,
001002-00-1076, C02,C04,C06,,,,,,
001002-00-1119, C02,C07,,,,,,,
001002-00-1167, C02,C08,,,,,,,
001002-00-1177, C02,C05,,,,,,,
001002-00-1188, C02,,,,,,,,
001002-00-1200, C02,C07,C01,C04,,,,,
001002-00-1202, C02,C07,C04,,,,,,
001002-00-1312, C02,C08,,,,,,,
001002-00-1374, C02,C09,,,,,,,
001002-00-1386, C02,C03,C04,C05,C06,C09,,,
001002-00-1389, C02,C01,C04,C06,C07,C09,,,
001002-00-1466, C02,C03,C07,C08,C09,C01,C04,C05,C06
001002-00-1472, C02,C04,C09,,,,,,
001002-00-1485, C02,C05,C01,C07,C04,,,,
001002-00-1515, C02,C08,C03,C01,,,,,
001002-00-1630, C02,C08,C04,C07,C05,C03,C01,C09,C06
001002-00-0080, C02,C08,,,,,,,
001001-00-0001, C02,C05,C04,C03,C06,,,,
001001-00-0007, C02,C04,C08,C09,C03,C05,C06,C07,C01
001001-00-0036, C02,,,,,,,,
001001-00-0062, C02,C07,,,,,,,
001001-00-0108, C02,C03,C04,C05,C06,C07,C08,C09,C01
001001-00-0109, C02,C08,C07,,,,,,
001001-00-0120, C02,C08,,,,,,,
001001-00-0122, C02,C03,C08,,,,,,
001001-00-0141, C02,,,,,,,,
001001-00-0144, C02,,,,,,,,
001001-00-0146, C02,C08,C04,,,,,,
001001-00-0160, C02,C03,C01,C08,,,,,
001001-00-0178, C02,,,,,,,,
001001-00-0187, C02,,,,,,,,
001001-00-0219, C02,,,,,,,,
001001-00-0221, C02,,,,,,,,
001001-00-0239, C02,,,,,,,,
001001-00-0240, C02,,,,,,,,
001001-00-0270, C02,C04,,,,,,,
001001-00-0309, C02,,,,,,,,
001001-00-0311, C02,,,,,,,,
001001-00-0343, C02,C08,,,,,,,
001001-00-0345, C02,C08,C04,,,,,,
001001-00-0359, C02,C04,C08,C09,,,,,
001001-00-0361, C02,C04,C08,C09,,,,,
001001-00-0365, C02,C08,,,,,,,
001001-00-0372, C02,,,,,,,,
001001-00-0390, C02,C08,C04,C09,,,,,
001001-00-0394, C02,C08,C09,C04,,,,,
001001-00-0431, C02,C03,C08,C09,,,,,
001001-00-0437, C02,C09,C08,C04,C03,C01,C07,C06,C05
001001-00-0473, C02,,,,,,,,
001001-00-0478, C02,C04,C08,C09,C03,C07,,,
001001-00-0504, C02,C08,C09,C04,C01,C03,C05,C06,C07
001001-00-0520, C02,,,,,,,,
001001-00-0526, C02,C07,,,,,,,
001001-00-0537, C02,,,,,,,,
001001-00-0550, C02,C07,C08,,,,,,
001001-00-0552, C02,C03,,,,,,,
001001-00-0571, C02,,,,,,,,
001001-00-0607, C02,,,,,,,,
001001-00-0613, C02,C05,C06,C04,C08,C01,C03,C09,C07
001001-00-0686, C02,,,,,,,,
001001-00-0696, C02,,,,,,,,
001001-00-0697, C02,,,,,,,,
001001-00-0705, C02,,,,,,,,
001001-00-0722, C02,C04,,,,,,,
001001-00-0733, C02,,,,,,,,
001001-00-0765, C02,,,,,,,,
001001-00-0776, C02,C05,,,,,,,
001001-00-0821, C02,C09,C04,,,,,,
001001-00-0839, C02,C07,,,,,,,
001001-00-0883, C02,,,,,,,,
001001-00-0903, C02,,,,,,,,
001001-00-0907, C02,C07,,,,,,,
001001-00-0918, C02,,,,,,,,
001001-00-0922, C02,,,,,,,,
001001-00-0929, C02,,,,,,,,
001001-00-0948, C02,,,,,,,,
001001-00-0955, C02,C07,,,,,,,
001001-00-0957, C02,C08,C01,C04,C05,C06,C03,,
001001-00-0959, C02,C05,,,,,,,
001001-00-0962, C02,C05,C04,C01,,,,,
001001-00-1025, C02,C04,C03,C07,C08,C05,C06,C09,C01
001001-00-1052, C02,,,,,,,,
001001-00-1055, C02,C07,C08,C09,C04,,,,
001001-00-1056, C02,C04,C08,C03,,,,,
001001-00-1058, C02,,,,,,,,
001001-00-1100, C02,C08,C01,,,,,,
001001-00-1103, C02,,,,,,,,
001001-00-1104, C02,C04,,,,,,,
001001-00-1109, C02,C04,C08,C09,,,,,
001001-00-1144, C02,C05,C04,,,,,,
001001-00-1153, C02,C04,,,,,,,
001001-00-1157, C02,C05,C09,C07,,,,,
001001-00-1237, C02,C07,,,,,,,
001001-00-1338, C02,C01,C07,,,,,,
001001-00-1343, C02,C01,C04,C08,C09,,,,
001001-00-1359, C02,C08,,,,,,,
001001-00-1377, C02,C04,C08,C09,C07,C01,C03,,
001001-00-1480, C02,C08,C07,C04,,,,,
001001-00-1490, C02,C04,,,,,,,
000101-00-0005, C02,,,,,,,,
000101-00-0012, C02,,,,,,,,
000101-00-0020, C02,C08,,,,,,,
000101-00-0022, C02,C04,C01,C08,,,,,
000101-00-0028, C02,C04,C08,C09,,,,,
000101-00-0036, C02,C04,C08,C05,,,,,
000101-00-0044, C02,,,,,,,,
000101-00-0063, C02,,,,,,,,
000101-00-0070, C02,C04,C09,C08,,,,,
000101-00-0078, C02,C04,C08,C09,,,,,
000101-00-0105, C02,C01,,,,,,,
000101-00-0108, C02,,,,,,,,
000101-00-0110, C02,,,,,,,,
000101-00-0115, C02,C04,C08,C09,C07,C06,C01,C03,
000101-00-0117, C02,C08,C03,C05,,,,,
000101-00-0125, C02,C08,C07,C04,,,,,
000101-00-0127, C02,C04,,,,,,,
000101-00-0135, C02,,,,,,,,
000101-00-0140, C02,,,,,,,,
000101-00-0143, C02,,,,,,,,
000101-00-0146, C02,,,,,,,,
000101-00-0151, C02,C08,,,,,,,
000101-00-0152, C02,,,,,,,,
000101-00-0155, C02,C04,,,,,,,
000101-00-0157, C02,C08,C04,C05,C03,C09,,,
000101-00-0158, C02,,,,,,,,
000101-00-0160, C02,,,,,,,,
000101-00-0164, C02,C06,,,,,,,
000101-00-0171, C02,C04,C08,,,,,,
000101-00-0178, C02,C08,C09,C04,,,,,
000101-00-0180, C02,C08,,,,,,,
000101-00-0189, C02,C04,C09,C08,,,,,
000101-00-0198, C02,,,,,,,,
000101-00-0201, C02,,,,,,,,
000101-00-0207, C02,,,,,,,,
000101-00-0219, C02,,,,,,,,
000101-00-0220, C02,,,,,,,,
000101-00-0223, C02,C04,C08,,,,,,
000101-00-0225, C02,C08,C04,,,,,,
000101-00-0226, C02,,,,,,,,
000101-00-0230, C02,C08,,,,,,,
000101-00-0231, C02,,,,,,,,
000101-00-0235, C02,C05,,,,,,,
000101-00-0238, C02,C04,,,,,,,
000101-00-0241, C02,C04,,,,,,,
000101-00-0248, C02,C04,,,,,,,
000101-00-0249, C02,C04,,,,,,,
000101-00-0253, C02,,,,,,,,
000101-00-0255, C02,C04,C05,C08,C09,C03,,,
000101-00-0258, C02,C07,C05,,,,,,
000101-00-0263, C02,,,,,,,,
000101-00-0267, C02,,,,,,,,
000101-00-0268, C02,C04,,,,,,,
000101-00-0271, C02,C04,,,,,,,
000101-00-0286, C02,C04,,,,,,,
000101-00-0292, C02,C07,C03,C04,C08,C06,,,
000101-00-0297, C02,C07,C06,C05,C03,C04,C08,C09,C01
000101-00-0301, C02,C08,C04,,,,,,
000101-00-0303, C02,,,,,,,,
000101-00-0304, C02,,,,,,,,
000101-00-0309, C02,C08,C04,,,,,,
000101-00-0314, C02,,,,,,,,
000101-00-0321, C02,,,,,,,,
000101-00-0327, C02,C08,,,,,,,
000101-00-0340, C02,C04,C08,C09,,,,,
000101-00-0341, C02,C04,,,,,,,
000101-00-0346, C02,C08,C07,C04,C09,,,,
000101-00-0348, C02,C08,,,,,,,
000101-00-0350, C02,,,,,,,,
000101-00-0354, C02,,,,,,,,
000101-00-0357, C02,C04,C09,C08,,,,,
000101-00-0359, C02,C08,C04,,,,,,
000101-00-0362, C02,C09,C08,C04,,,,,
000101-00-0369, C02,C09,C03,C08,C04,C05,C01,C07,C06
000101-00-0373, C02,C08,,,,,,,
000101-00-0376, C02,C08,,,,,,,
000101-00-0382, C02,C08,C03,,,,,,
000101-00-0383, C02,,,,,,,,
000101-00-0385, C02,C08,,,,,,,
000101-00-0387, C02,C04,C07,,,,,,
000101-00-0398, C02,C03,C04,C09,C08,C01,,,
000101-00-0405, C02,C04,,,,,,,
000101-00-0409, C02,,,,,,,,
000101-00-0416, C02,,,,,,,,
000101-00-0422, C02,,,,,,,,
000101-00-0425, C02,C04,C08,C09,C07,C05,,,
000101-00-0427, C02,C04,C08,C09,C03,C05,C06,C07,C01
000101-00-0430, C02,,,,,,,,
000101-00-0434, C02,C03,C04,C09,C08,C01,,,
000101-00-0442, C02,C04,C08,,,,,,
000101-00-0450, C02,C04,C01,,,,,,
000101-00-0451, C02,C04,,,,,,,
000101-00-0460, C02,,,,,,,,
000101-00-0462, C02,C08,C01,,,,,,
000101-00-0464, C02,C04,C08,C09,C07,C06,C05,C03,C01
000101-00-0476, C02,C03,C04,C05,C08,C09,,,
000101-00-0501, C02,,,,,,,,
000101-00-0503, C02,C04,,,,,,,
000101-00-0505, C02,C01,,,,,,,
000101-00-0509, C02,C07,,,,,,,
000101-00-0517, C02,C04,C08,C07,,,,,
000101-00-0525, C02,C07,,,,,,,
000101-00-0527, C02,,,,,,,,
000101-00-0537, C02,C08,,,,,,,
000101-00-0541, C02,C04,,,,,,,
000101-00-0543, C02,C07,C04,,,,,,
000101-00-0547, C02,,,,,,,,
000101-00-0554, C02,C08,C07,C03,,,,,
000101-00-0556, C02,C04,C08,C09,C07,C05,,,
000101-00-0558, C02,C04,C08,C09,C05,C07,,,
000101-00-0570, C02,,,,,,,,
000101-00-0571, C02,,,,,,,,
000101-00-0574, C02,,,,,,,,
000101-00-0577, C02,,,,,,,,
000101-00-0579, C02,,,,,,,,
000101-00-0580, C02,,,,,,,,
000101-00-0583, C02,C04,C07,,,,,,
000101-00-0590, C02,,,,,,,,
000101-00-0599, C02,,,,,,,,
000101-00-0618, C02,C04,C08,C09,C01,C03,C07,C06,
000101-00-0628, C02,C04,C09,C08,C05,C07,,,
000101-00-0631, C02,C07,C04,C08,C09,,,,
000101-00-0656, C02,C05,C06,C07,C04,C08,C09,C01,C03
000101-00-0667, C02,C04,C07,,,,,,
000101-00-0669, C02,C01,C06,C03,C04,C09,C05,C08,C07
000101-00-0670, C02,C04,C08,C09,C05,C07,C06,C01,C03
000101-00-0681, C02,C04,,,,,,,
000101-00-0688, C02,C07,C03,,,,,,
000101-00-0691, C02,,,,,,,,
000101-00-0710, C02,C03,,,,,,,
000101-00-0715, C02,C07,C04,C08,,,,,
000101-00-0720, C02,C08,C04,C07,,,,,
000101-00-0735, C02,,,,,,,,
000101-00-0737, C02,C07,C06,,,,,,
000101-00-0738, C02,C01,,,,,,,
000101-00-0749, C02,C09,C08,C04,,,,,
000101-00-0752, C02,C04,,,,,,,
000101-00-0760, C02,C04,C06,,,,,,
000101-00-0022, C02,C01,C03,C08,C05,C09,C06,C04,
000402-00-0060, C02,C08,,,,,,,
000402-00-0062, C02,C09,C04,,,,,,
000402-00-0100, C02,,,,,,,,
000402-00-0150, C02,,,,,,,,
000402-00-0166, C02,C04,C08,C09,C07,C01,C03,,
000402-00-0171, C02,C04,C08,C09,C01,C03,C05,C06,C07
000402-00-0184, C02,,,,,,,,
000402-00-0194, C02,C07,C03,C08,C09,,,,
000402-00-0261, C02,C08,C04,C07,C01,C05,C03,C06,C09
000402-00-0268, C02,C01,C08,,,,,,
000402-00-0270, C02,C05,,,,,,,
000402-00-0276, C02,C05,,,,,,,
000402-00-0308, C02,C03,,,,,,,
000402-00-0313, C02,C05,,,,,,,
000402-00-0332, C02,,,,,,,,
000402-00-0336, C02,,,,,,,,
000402-00-0370, C02,C04,,,,,,,
000402-00-0373, C02,,,,,,,,
000402-00-0376, C02,C04,C08,C09,C07,C05,C06,C01,
000402-00-0417, C02,C08,,,,,,,
000402-00-0450, C02,,,,,,,,
000402-00-0464, C02,C04,C05,,,,,,
000402-00-0470, C02,C04,C07,C05,C08,C06,C09,C01,C03
000402-00-0502, C02,,,,,,,,
000402-00-0518, C02,C04,C08,C09,C01,C05,C06,C07,
000402-00-0529, C02,,,,,,,,
000402-00-0626, C02,C08,C09,C04,C07,C05,,,
000402-00-0656, C02,C08,C04,C07,C01,,,,
000402-00-0665, C02,C08,,,,,,,
000402-00-0691, C02,C04,C08,C09,C07,,,,
000402-00-0703, C02,,,,,,,,
000402-00-0742, C02,C08,,,,,,,
000402-00-0768, C02,C09,,,,,,,
000402-00-0799, C02,C04,C08,C09,,,,,
000402-00-0806, C02,C07,C03,C05,C01,C06,C08,C09,C04
000402-00-0852, C02,C07,C08,,,,,,
000402-00-0879, C02,C07,,,,,,,
000402-00-0888, C02,C08,C07,,,,,,
000402-00-0920, C02,C08,C07,C06,C05,C01,C09,C03,C04
000402-00-0965, C02,C04,C08,,,,,,
000402-00-0982, C02,,,,,,,,
000402-00-1076, C02,C04,C08,,,,,,
000402-00-0113, C02,C04,C07,,,,,,
000402-00-0124, C02,C09,C08,C04,C03,C07,C01,,
000703-00-0041, C02,,,,,,,,
000703-00-0057, C02,C04,C08,,,,,,
000703-00-0074, C02,C07,C08,C04,C06,C09,C03,C01,C05
000703-00-0166, C02,C09,C07,C01,C03,,,,
000703-00-0169, C02,C07,C09,C01,C03,,,,
000302-00-0011, C02,,,,,,,,
000302-00-0029, C02,C06,C07,C03,C01,C05,,,
000302-00-0058, C02,,,,,,,,
000302-00-0067, C02,,,,,,,,
000302-00-0110, C02,C08,C03,C04,C05,C07,C09,,
000302-00-0128, C02,,,,,,,,
000302-00-0130, C02,C07,C08,C05,,,,,
000302-00-0198, C02,C08,,,,,,,
000302-00-0208, C02,C07,C08,C09,C04,C01,C03,C05,C06
000302-00-0219, C02,,,,,,,,
000302-00-0240, C02,C07,C06,C05,C03,C01,,,
000302-00-0241, C02,C04,C09,C08,,,,,
000302-00-0244, C02,,,,,,,,
000302-00-0269, C02,,,,,,,,
000302-00-0286, C02,,,,,,,,
000302-00-0322, C02,C09,C08,C04,C05,C01,C06,C07,
000302-00-0324, C02,C09,C04,,,,,,
000302-00-0336, C02,,,,,,,,
000302-00-0349, C02,C07,C04,,,,,,
000302-00-0354, C02,C07,C08,C05,C09,C03,C06,C01,
000302-00-0360, C02,C04,C09,C08,,,,,
000302-00-0363, C02,C08,C09,,,,,,
000302-00-0374, C02,,,,,,,,
000302-00-0421, C02,C04,C09,C08,,,,,
000302-00-0434, C02,C04,,,,,,,
000302-00-0455, C02,,,,,,,,
000302-00-0468, C02,C09,,,,,,,
000302-00-0469, C02,,,,,,,,
000302-00-0474, C02,,,,,,,,
000302-00-0479, C02,C06,C09,C04,C08,C03,,,
000302-00-0497, C02,C04,C07,C08,C01,C09,,,
000302-00-0511, C02,C09,C07,C08,,,,,
001101-00-0065, C02,C03,C04,C09,,,,,
001101-00-0076, C02,C08,,,,,,,
001101-00-0080, C02,C03,C07,C06,C04,,,,
001101-00-0083, C02,C08,C01,C03,C04,C05,C06,C07,C09
001101-00-0085, C02,C06,,,,,,,
001101-00-0121, C02,,,,,,,,
001101-00-0318, C02,,,,,,,,
001101-00-0321, C02,,,,,,,,
001101-00-0351, C02,,,,,,,,
001101-00-0370, C02,,,,,,,,
001101-00-0385, C02,C04,C07,,,,,,
001101-00-0473, C02,,,,,,,,
001101-00-0486, C02,,,,,,,,
001101-00-0526, C02,C04,C08,,,,,,
001101-00-0544, C02,C06,C07,C04,C08,,,,
001101-00-0556, C02,C04,C05,C07,,,,,
001101-00-0559, C02,,,,,,,,
001101-00-0578, C02,C09,C08,C04,,,,,
001101-00-0603, C02,C09,C04,,,,,,
001101-00-0632, C02,,,,,,,,
001101-00-0692, C02,C04,C09,C05,,,,,
001101-00-0819, C02,,,,,,,,
001101-00-0065, C02,,,,,,,,
000301-00-0004, C02,C04,,,,,,,
000301-00-0009, C02,,,,,,,,
000301-00-0012, C02,,,,,,,,
000301-00-0019, C02,C04,C08,,,,,,
000301-00-0033, C02,C04,,,,,,,
000301-00-0039, C02,,,,,,,,
000301-00-0043, C02,C04,C07,,,,,,
000301-00-0050, C02,C04,C08,,,,,,
000301-00-0052, C02,C04,,,,,,,
000301-00-0057, C02,C04,,,,,,,
000301-00-0060, C02,C08,C03,C07,C05,C01,,,
000301-00-0068, C02,C07,C04,C09,C03,C01,,,
000301-00-0074, C02,C03,C04,C01,C09,C05,,,
000301-00-0077, C02,C04,,,,,,,
000301-00-0089, C02,,,,,,,,
000301-00-0092, C02,C08,,,,,,,
000301-00-0102, C02,C08,C09,C03,,,,,
000301-00-0103, C02,C08,C09,C04,,,,,
000301-00-0108, C02,,,,,,,,
000301-00-0112, C02,C04,,,,,,,
000301-00-0120, C02,,,,,,,,
000301-00-0129, C02,,,,,,,,
000301-00-0132, C02,,,,,,,,
000301-00-0138, C02,C09,,,,,,,
000301-00-0147, C02,,,,,,,,
000301-00-0153, C02,C08,,,,,,,
000301-00-0157, C02,,,,,,,,
000301-00-0158, C02,C06,,,,,,,
000301-00-0162, C02,,,,,,,,
000301-00-0167, C02,C04,C07,C08,,,,,
000301-00-0168, C02,C04,,,,,,,
000301-00-0173, C02,,,,,,,,
000301-00-0174, C02,C04,C07,,,,,,
000301-00-0176, C02,C07,C04,,,,,,
000301-00-0185, C02,,,,,,,,
000301-00-0190, C02,,,,,,,,
000301-00-0192, C02,,,,,,,,
000301-00-0196, C02,C06,,,,,,,
000301-00-0198, C02,C08,C04,C07,,,,,
000301-00-0204, C02,C04,C08,C09,C01,C03,C05,C06,C07
000301-00-0205, C02,C03,,,,,,,
000301-00-0207, C02,,,,,,,,
000301-00-0210, C02,,,,,,,,
000301-00-0212, C02,,,,,,,,
000301-00-0216, C02,C03,C08,C09,C04,,,,
000301-00-0219, C02,C08,,,,,,,
000301-00-0224, C02,C07,C04,,,,,,
000301-00-0226, C02,C04,,,,,,,
000301-00-0231, C02,C01,C03,C07,,,,,
000301-00-0235, C02,C05,C09,C07,C04,,,,
000301-00-0240, C02,,,,,,,,
000301-00-0242, C02,C04,C07,,,,,,
000301-00-0250, C02,,,,,,,,
000301-00-0254, C02,,,,,,,,
000301-00-0255, C02,C08,C04,C09,,,,,
000301-00-0258, C02,,,,,,,,
000301-00-0262, C02,C04,,,,,,,
000301-00-0263, C02,,,,,,,,
000301-00-0266, C02,,,,,,,,
000301-00-0268, C02,,,,,,,,
000301-00-0270, C02,C01,C05,C06,,,,,
000301-00-0271, C02,C04,C08,,,,,,
000301-00-0274, C02,C04,,,,,,,
000301-00-0275, C02,,,,,,,,
000301-00-0278, C02,,,,,,,,
000301-00-0280, C02,,,,,,,,
000301-00-0282, C02,C04,,,,,,,
000301-00-0285, C02,C01,C07,,,,,,
000301-00-0289, C02,C01,,,,,,,
000301-00-0292, C02,,,,,,,,
000301-00-0298, C02,,,,,,,,
000301-00-0300, C02,,,,,,,,
000301-00-0306, C02,C04,C03,,,,,,
000301-00-0309, C02,,,,,,,,
000301-00-0313, C02,C04,C08,C09,,,,,
000301-00-0317, C02,,,,,,,,
000301-00-0318, C02,,,,,,,,
000301-00-0323, C02,C04,,,,,,,
000301-00-0327, C02,C09,C08,C04,C03,C01,,,
000301-00-0328, C02,C09,C03,C04,C01,C08,,,
000301-00-0331, C02,C04,,,,,,,
