ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice
001001-00-0763,C06,C07,C03,C10,C12,,,,,,,,,,,,,,,,,,
001001-00-0764,C06,C14,C10,C03,C19,,,,,,,,,,,,,,,,,,
001001-00-0766,C19,C01,C12,C14,C04,C15,C03,C02,C21,,,,,,,,,,,,,,
001001-00-0767,C14,C10,C21,C19,C15,C02,C03,C18,C13,C11,C09,C08,C07,C06,C05,C04,C23,C22,C17,C16,,,
001001-00-0769,C01,C17,,,,,,,,,,,,,,,,,,,,,
001001-00-0771,C07,C14,C03,C10,C06,C19,C02,C04,C22,C21,C15,C11,,,,,,,,,,,
001001-00-0772,C10,C03,C08,C12,C15,C02,C06,,,,,,,,,,,,,,,,
001001-00-0775,C10,,,,,,,,,,,,,,,,,,,,,,
001001-00-0777,C06,C14,C22,C15,,,,,,,,,,,,,,,,,,,
001001-00-0778,C02,C14,C10,C19,C21,C22,,,,,,,,,,,,,,,,,
001001-00-0780,C21,C15,C03,C12,C19,C10,,,,,,,,,,,,,,,,,
001001-00-0783,C10,C21,C03,C22,C01,C06,C05,C02,,,,,,,,,,,,,,,
001001-00-0785,C21,C04,C15,C10,,,,,,,,,,,,,,,,,,,
001001-00-0786,C21,C02,C10,C04,,,,,,,,,,,,,,,,,,,
001001-00-0789,C12,C20,C19,C10,C15,C02,C01,C03,C05,,,,,,,,,,,,,,
001001-00-0791,C12,C20,C19,C10,C15,C02,C01,C03,C05,,,,,,,,,,,,,,
001001-00-0792,C10,C01,C03,C22,C19,C14,C15,C06,,,,,,,,,,,,,,,
001001-00-0794,C15,,,,,,,,,,,,,,,,,,,,,,
001001-00-0796,C12,,,,,,,,,,,,,,,,,,,,,,
001001-00-0799,C12,,,,,,,,,,,,,,,,,,,,,,
001001-00-0801,C02,C04,C08,C14,C10,C06,C22,C12,,,,,,,,,,,,,,,
001001-00-0802,C06,C19,C12,C14,C15,C03,C04,C10,C17,,,,,,,,,,,,,,
001001-00-0804,C14,C02,C04,C21,C22,C08,,,,,,,,,,,,,,,,,
001001-00-0806,C21,C15,C19,C03,C14,C01,C02,,,,,,,,,,,,,,,,
001001-00-0809,C21,C02,C19,,,,,,,,,,,,,,,,,,,,
001001-00-0810,C02,C04,C21,,,,,,,,,,,,,,,,,,,,
001001-00-0812,C10,C12,C19,,,,,,,,,,,,,,,,,,,,
001001-00-0815,C15,C21,C03,C01,C10,C12,,,,,,,,,,,,,,,,,
001001-00-0816,C12,C19,C20,C15,C03,,,,,,,,,,,,,,,,,,
001001-00-0819,C21,C08,C04,C02,C12,C14,,,,,,,,,,,,,,,,,
001001-00-0820,C03,C21,C04,C14,,,,,,,,,,,,,,,,,,,
001001-00-0823,C19,C01,C21,C10,C09,,,,,,,,,,,,,,,,,,
001001-00-0825,C02,C14,C04,C08,C22,C21,C06,C19,,,,,,,,,,,,,,,
001001-00-0826,C15,C10,C02,C06,C07,C04,,,,,,,,,,,,,,,,,
001001-00-0828,C10,C19,C20,C01,C02,C03,C12,C14,C15,C21,,,,,,,,,,,,,
001001-00-0831,C15,C06,C03,C21,C04,C02,C19,C14,,,,,,,,,,,,,,,
001001-00-0832,C12,C02,C21,C03,C01,C19,,,,,,,,,,,,,,,,,
001001-00-0834,C03,C08,C10,C14,C01,C15,C21,,,,,,,,,,,,,,,,
001001-00-0837,C12,C15,C01,C03,C19,C22,C10,C02,,,,,,,,,,,,,,,
001001-00-0838,C08,C02,C01,,,,,,,,,,,,,,,,,,,,
001001-00-0840,C01,C03,C12,C19,C15,C23,,,,,,,,,,,,,,,,,
001001-00-0842,C03,C10,C15,C01,C14,,,,,,,,,,,,,,,,,,
001001-00-0844,C04,C18,C21,C22,C23,C05,C06,C07,C08,C09,C11,C13,C16,C17,C15,C14,C12,C10,C03,C02,C01,C20,C19
001001-00-0846,C06,C10,C05,C03,C21,,,,,,,,,,,,,,,,,,
001001-00-0848,C02,C08,C22,C14,C04,C21,,,,,,,,,,,,,,,,,
001001-00-0851,C21,C08,C04,C13,C18,C15,C10,C19,,,,,,,,,,,,,,,
001001-00-0853,C14,C02,C08,C04,C22,C18,C03,C15,C10,C06,C05,C07,,,,,,,,,,,
001001-00-0854,C21,C20,C02,C03,C10,C08,C19,C15,C14,,,,,,,,,,,,,,
001001-00-0857,C21,C10,C02,C01,C15,C03,C19,C14,C12,,,,,,,,,,,,,,
001001-00-0858,C10,C03,C14,C06,C11,C12,,,,,,,,,,,,,,,,,
001001-00-0860,C03,C15,C21,C19,C10,C20,C12,,,,,,,,,,,,,,,,
001001-00-0862,C15,C02,C17,C19,C21,C03,,,,,,,,,,,,,,,,,
001001-00-0865,C12,C14,C19,C21,C08,C15,C17,,,,,,,,,,,,,,,,
001001-00-0867,C21,C02,C14,C04,C08,,,,,,,,,,,,,,,,,,
001001-00-0868,C02,C14,C06,C11,C01,,,,,,,,,,,,,,,,,,
001001-00-0870,C12,C15,C03,C01,C10,C20,C17,,,,,,,,,,,,,,,,
001001-00-0872,C02,C14,C04,C08,C22,C21,C06,C19,,,,,,,,,,,,,,,
001001-00-0874,C19,C01,C15,,,,,,,,,,,,,,,,,,,,
001001-00-0876,C19,C01,C15,C12,C03,C20,C10,,,,,,,,,,,,,,,,
001001-00-0878,C02,C06,C14,C22,C04,C08,C11,C10,C12,C21,,,,,,,,,,,,,
001001-00-0880,C12,C03,C08,,,,,,,,,,,,,,,,,,,,
001001-00-0882,C01,C12,C19,,,,,,,,,,,,,,,,,,,,
001001-00-0885,C19,C03,C01,C20,C12,C10,C02,C22,C14,C15,,,,,,,,,,,,,
001001-00-0887,C15,C19,C21,C01,C03,C06,C10,C12,,,,,,,,,,,,,,,
001001-00-0888,C14,C04,C06,C08,C02,,,,,,,,,,,,,,,,,,
001001-00-0891,C10,C14,C21,C19,C03,C15,,,,,,,,,,,,,,,,,
001001-00-0893,C12,,,,,,,,,,,,,,,,,,,,,,
001001-00-0894,C08,C21,C02,,,,,,,,,,,,,,,,,,,,
001001-00-0896,C02,C14,C04,C08,C22,C21,C23,C06,C10,,,,,,,,,,,,,,
001001-00-0898,C21,C19,C02,C14,C04,C22,C06,C12,C15,,,,,,,,,,,,,,
001001-00-0901,C10,C03,C01,C14,C15,,,,,,,,,,,,,,,,,,
001001-00-0903,C10,C08,C15,C06,C04,C14,C02,C22,C21,,,,,,,,,,,,,,
001001-00-0904,C14,C21,C08,C02,C15,,,,,,,,,,,,,,,,,,
001001-00-0906,C02,C08,C04,C14,C11,,,,,,,,,,,,,,,,,,
001001-00-0909,C10,C15,,,,,,,,,,,,,,,,,,,,,
001001-00-0910,C15,C13,C12,C20,C19,,,,,,,,,,,,,,,,,,
001001-00-0913,C10,C03,C12,C19,C20,C01,C15,,,,,,,,,,,,,,,,
001001-00-0915,C12,C01,C19,C20,C15,C02,C03,C09,C21,,,,,,,,,,,,,,
001001-00-0917,C19,C10,C21,C15,C08,C02,C03,C01,,,,,,,,,,,,,,,
001001-00-0919,C19,C07,C03,C01,C04,C05,C06,C08,C09,C12,C13,C14,C15,C17,C16,C18,C20,C21,C22,C23,C02,C10,C11
001001-00-0921,C03,C12,,,,,,,,,,,,,,,,,,,,,
001001-00-0923,C03,C15,C12,C19,C02,C01,C20,,,,,,,,,,,,,,,,
001001-00-0924,C02,C08,C04,C21,,,,,,,,,,,,,,,,,,,
001001-00-0926,C14,C04,C21,C23,C05,C08,,,,,,,,,,,,,,,,,
001001-00-0929,C02,C17,C03,C06,C08,C11,,,,,,,,,,,,,,,,,
001001-00-0931,C12,C02,C06,C16,C19,C21,C23,C11,C14,C15,C07,C08,C10,C22,C04,C03,C05,C01,C09,C20,C18,C17,C13
001001-00-0933,C21,C15,C03,C10,C19,C12,C04,C14,C02,,,,,,,,,,,,,,
001001-00-0934,C15,C03,C21,,,,,,,,,,,,,,,,,,,,
001001-00-0937,C10,C15,,,,,,,,,,,,,,,,,,,,,
001001-00-0938,C15,C21,C03,C10,,,,,,,,,,,,,,,,,,,
001001-00-0940,C15,C21,C04,C19,C10,,,,,,,,,,,,,,,,,,
001001-00-0944,C10,C08,C05,C14,C03,C19,C11,C07,C21,,,,,,,,,,,,,,
001001-00-0946,C10,C04,C01,C15,C07,C14,,,,,,,,,,,,,,,,,
001001-00-0948,C06,C14,C10,C03,,,,,,,,,,,,,,,,,,,
001001-00-0949,C15,C19,C06,C05,C21,,,,,,,,,,,,,,,,,,
001001-00-0951,C10,C12,C15,C19,C20,C01,C03,,,,,,,,,,,,,,,,
001001-00-0952,C10,C03,C19,,,,,,,,,,,,,,,,,,,,
001001-00-0955,C10,C03,C19,C02,C21,,,,,,,,,,,,,,,,,,
001001-00-0956,C21,C08,C02,C15,C10,C22,C01,C03,C14,C19,C05,C04,C06,,,,,,,,,,
001001-00-0959,C08,C10,C15,,,,,,,,,,,,,,,,,,,,
001001-00-0960,C03,C14,C15,C06,C04,C19,C20,C08,C10,C12,C13,C21,C05,,,,,,,,,,
001001-00-0962,C19,C12,C01,,,,,,,,,,,,,,,,,,,,
001001-00-0966,C14,C02,C22,C04,C15,C06,C08,C19,C12,C03,,,,,,,,,,,,,
001001-00-0968,C12,,,,,,,,,,,,,,,,,,,,,,
001001-00-0970,C19,C12,C01,C15,C17,C06,,,,,,,,,,,,,,,,,
001001-00-0971,C12,C04,C10,,,,,,,,,,,,,,,,,,,,
001001-00-0974,C10,C21,C01,C03,C15,,,,,,,,,,,,,,,,,,
001001-00-0975,C12,,,,,,,,,,,,,,,,,,,,,,
001001-00-0977,C10,C01,C03,,,,,,,,,,,,,,,,,,,,
001001-00-0978,C02,C14,C04,C08,C22,,,,,,,,,,,,,,,,,,
001001-00-0981,C10,C12,C02,C19,,,,,,,,,,,,,,,,,,,
001001-00-0983,C10,C21,C02,C03,C11,,,,,,,,,,,,,,,,,,
001001-00-0986,C06,C08,C10,C12,C02,,,,,,,,,,,,,,,,,,
001001-00-0988,C19,C12,C10,C03,C15,C22,C02,C01,C04,C14,C06,C08,C20,,,,,,,,,,
001001-00-0989,C02,C04,C08,C14,C22,,,,,,,,,,,,,,,,,,
001001-00-0991,C20,C10,C12,C15,C03,,,,,,,,,,,,,,,,,,
001001-00-0992,C10,C21,,,,,,,,,,,,,,,,,,,,,
001001-00-0994,C10,C15,,,,,,,,,,,,,,,,,,,,,
001001-00-0997,C12,C15,C10,C20,C19,C03,C02,C01,,,,,,,,,,,,,,,
001001-00-0999,C10,C01,C03,C12,C15,C20,C14,C08,C19,,,,,,,,,,,,,,
001001-00-1000,C10,C15,C19,C12,,,,,,,,,,,,,,,,,,,
001001-00-1002,C14,C08,C02,C22,C04,C15,C01,,,,,,,,,,,,,,,,
001001-00-1003,C10,C15,,,,,,,,,,,,,,,,,,,,,
001001-00-1005,C10,C03,C12,C19,C14,,,,,,,,,,,,,,,,,,
001001-00-1008,C03,C14,C21,C01,C19,C20,,,,,,,,,,,,,,,,,
001001-00-1009,C14,C19,C03,C04,C02,C15,C01,,,,,,,,,,,,,,,,
001001-00-1012,C10,C08,C14,C04,C22,C02,C21,,,,,,,,,,,,,,,,
001001-00-1013,C21,C08,C02,C15,C11,C22,C01,,,,,,,,,,,,,,,,
001001-00-1015,C10,C21,C03,C22,C01,C06,C05,C02,C12,C15,C19,C20,,,,,,,,,,,
001001-00-1017,C21,C19,C14,C03,,,,,,,,,,,,,,,,,,,
001001-00-1019,C10,C03,C21,C19,,,,,,,,,,,,,,,,,,,
001001-00-1022,C12,C10,C03,C17,C02,C16,C15,C04,,,,,,,,,,,,,,,
001001-00-1024,C12,C21,C10,C15,,,,,,,,,,,,,,,,,,,
001001-00-1025,C19,C02,C15,C14,C21,,,,,,,,,,,,,,,,,,
001001-00-1027,C19,C04,C14,C01,C06,C21,C02,,,,,,,,,,,,,,,,
001001-00-1029,C10,C12,C21,C01,C02,C03,C06,,,,,,,,,,,,,,,,
001001-00-1031,C13,C20,C12,C15,C03,C10,C22,C16,C04,,,,,,,,,,,,,,
001001-00-1033,C19,C02,C14,C23,C21,C08,C01,C03,C06,,,,,,,,,,,,,,
001001-00-1035,C15,C03,C21,C20,C12,C13,C02,C01,C08,,,,,,,,,,,,,,
001001-00-1037,C12,C13,C15,C20,C19,C03,C01,,,,,,,,,,,,,,,,
001001-00-1039,C20,C01,C11,C10,C12,C13,C15,C16,,,,,,,,,,,,,,,
001001-00-1041,C15,C19,C20,C01,C02,,,,,,,,,,,,,,,,,,
001001-00-1043,C01,C12,C19,C03,C10,C04,C02,C14,C08,C22,C11,C20,C21,C07,C06,C09,C13,C16,C23,C05,C17,C15,C18
001001-00-1044,C10,C17,C14,,,,,,,,,,,,,,,,,,,,
001001-00-1046,C12,C10,C19,C15,C03,C17,,,,,,,,,,,,,,,,,
001001-00-1049,C15,C19,C03,,,,,,,,,,,,,,,,,,,,
001001-00-1051,C03,C15,C10,,,,,,,,,,,,,,,,,,,,
001001-00-1053,C06,C08,C04,C21,C22,C02,C14,C19,C15,,,,,,,,,,,,,,
001001-00-1055,C12,C10,C04,,,,,,,,,,,,,,,,,,,,
001001-00-1058,C19,C01,C03,C12,C20,C15,C10,C13,C14,,,,,,,,,,,,,,
001001-00-1059,C04,C06,C11,C10,C21,C07,C08,,,,,,,,,,,,,,,,
001001-00-1061,C10,C15,C02,C14,C12,C21,C03,C04,C01,C19,,,,,,,,,,,,,
001001-00-1063,C10,C02,C04,C03,C21,C12,C01,C19,C15,,,,,,,,,,,,,,
001001-00-1066,C10,C19,,,,,,,,,,,,,,,,,,,,,
001001-00-1068,C12,C15,C01,C03,C10,C14,C20,C19,C02,C13,C09,C11,C16,C17,C18,C21,C22,C23,,,,,
001001-00-1069,C02,C10,C21,C14,C19,C03,C04,C20,C12,C15,,,,,,,,,,,,,
001001-00-1071,C10,C19,C03,,,,,,,,,,,,,,,,,,,,
001001-00-1074,C21,C03,C05,C11,C10,C19,C15,C08,C12,C06,C04,C02,C14,C20,C22,C01,C07,C09,C13,C17,C16,C18,C23
001001-00-1075,C02,C14,C01,C21,C04,C03,C16,C15,C08,C19,,,,,,,,,,,,,
001001-00-1078,C04,C03,,,,,,,,,,,,,,,,,,,,,
001001-00-1079,C02,C08,C04,C14,C06,C22,C21,,,,,,,,,,,,,,,,
001001-00-1082,C03,C13,C15,C10,,,,,,,,,,,,,,,,,,,
001001-00-1084,C04,C08,C02,C14,C06,C22,C07,C21,C19,,,,,,,,,,,,,,
001001-00-1086,C10,C15,C19,C12,,,,,,,,,,,,,,,,,,,
001001-00-1088,C06,C02,C20,C10,C08,C21,C07,C04,C03,,,,,,,,,,,,,,
001001-00-1089,C14,C01,C15,C03,C19,C20,C10,C12,,,,,,,,,,,,,,,
001001-00-1091,C10,C19,C03,C08,C21,,,,,,,,,,,,,,,,,,
001001-00-1094,C04,C14,,,,,,,,,,,,,,,,,,,,,
001001-00-1095,C10,C03,C08,C12,,,,,,,,,,,,,,,,,,,
001001-00-1096,C14,C06,C22,C21,,,,,,,,,,,,,,,,,,,
001001-00-1098,C03,C08,C14,C04,C02,C12,C11,C06,C19,C21,C01,,,,,,,,,,,,
001001-00-1101,C03,C15,C21,C10,C20,C19,,,,,,,,,,,,,,,,,
001001-00-1103,C14,C10,C21,C03,,,,,,,,,,,,,,,,,,,
001001-00-1104,C06,C08,C02,C14,C18,,,,,,,,,,,,,,,,,,
001001-00-1106,C14,C02,C04,C08,C22,C19,C15,C01,C06,,,,,,,,,,,,,,
001001-00-1108,C21,C08,C06,C04,C07,,,,,,,,,,,,,,,,,,
001001-00-1111,C14,C10,C01,C19,,,,,,,,,,,,,,,,,,,
001001-00-1112,C02,C08,C12,C21,C10,C15,C01,C14,C19,,,,,,,,,,,,,,
001001-00-1114,C02,C14,C21,C12,C15,C01,C19,C08,C10,,,,,,,,,,,,,,
001001-00-1116,C15,C21,C10,C19,C01,C03,C12,,,,,,,,,,,,,,,,
001001-00-1118,C10,C19,C14,C15,C01,,,,,,,,,,,,,,,,,,
001001-00-1121,C06,C12,C02,C15,C01,C14,C08,C18,C19,,,,,,,,,,,,,,
001001-00-1123,C10,C03,C15,,,,,,,,,,,,,,,,,,,,
001001-00-1125,C03,C12,C20,,,,,,,,,,,,,,,,,,,,
001001-00-1126,C12,C14,C15,C19,C20,C01,C02,C03,C10,,,,,,,,,,,,,,
001001-00-1129,C10,C01,C19,C21,C15,C03,,,,,,,,,,,,,,,,,
001001-00-1131,C01,C03,C19,C15,C17,C13,,,,,,,,,,,,,,,,,
001001-00-1134,C20,C21,C14,C10,C03,,,,,,,,,,,,,,,,,,
001001-00-1136,C01,C10,C15,C19,,,,,,,,,,,,,,,,,,,
001001-00-1137,C10,C08,C14,C02,C19,C03,,,,,,,,,,,,,,,,,
001001-00-1140,C03,C14,,,,,,,,,,,,,,,,,,,,,
001001-00-1141,C14,C15,C06,C22,C19,C01,,,,,,,,,,,,,,,,,
001001-00-1143,C02,C04,C08,C14,C22,,,,,,,,,,,,,,,,,,
001001-00-1144,C03,C19,C01,C15,C12,C10,C21,C20,C06,C18,,,,,,,,,,,,,
001001-00-1146,C05,C22,C06,C08,C10,C19,C01,C15,,,,,,,,,,,,,,,
001001-00-1149,C01,C03,C19,C12,C14,C15,C20,C10,C02,,,,,,,,,,,,,,
001001-00-1151,C14,C15,C06,C22,C19,C01,,,,,,,,,,,,,,,,,
001001-00-1152,C12,C20,C14,C15,C19,C01,C02,,,,,,,,,,,,,,,,
001001-00-1155,C08,C04,C21,C10,C12,C14,C02,C01,C19,,,,,,,,,,,,,,
001001-00-1156,C21,C02,C04,C08,C10,C05,C14,C03,C16,C23,C11,C19,,,,,,,,,,,
001001-00-1159,C06,C01,C14,,,,,,,,,,,,,,,,,,,,
001001-00-1160,C12,C15,C19,C20,C03,C14,C17,C01,C05,C10,C16,C08,C04,C23,C18,,,,,,,,
001001-00-1162,C06,C14,C08,,,,,,,,,,,,,,,,,,,,
001001-00-1163,C14,,,,,,,,,,,,,,,,,,,,,,
001001-00-1164,C13,C14,C21,,,,,,,,,,,,,,,,,,,,
001001-00-1166,C15,C10,,,,,,,,,,,,,,,,,,,,,
001001-00-1169,C12,C20,C10,,,,,,,,,,,,,,,,,,,,
001001-00-1170,C03,C12,C14,C01,C15,C13,,,,,,,,,,,,,,,,,
001001-00-1173,C20,C12,C19,C15,C03,,,,,,,,,,,,,,,,,,
001001-00-1175,C02,C04,C08,C14,C21,,,,,,,,,,,,,,,,,,
001001-00-1178,C12,C10,C20,C03,C16,C02,,,,,,,,,,,,,,,,,
001001-00-1179,C19,C12,C15,C10,C02,C01,C03,C14,C20,,,,,,,,,,,,,,
001001-00-1181,C20,C01,C03,C13,C15,C19,,,,,,,,,,,,,,,,,
001001-00-1183,C10,C20,C12,,,,,,,,,,,,,,,,,,,,
001001-00-1184,C08,,,,,,,,,,,,,,,,,,,,,,
001001-00-1186,C02,C22,C08,C14,C04,C10,C03,C21,C06,,,,,,,,,,,,,,
001001-00-1187,C15,C03,C12,C18,,,,,,,,,,,,,,,,,,,
001001-00-1190,C07,C14,C11,C08,C06,C10,,,,,,,,,,,,,,,,,
001001-00-1191,C03,C15,C10,C20,C12,C01,C19,C06,C21,,,,,,,,,,,,,,
001001-00-1192,C10,C15,C19,C21,,,,,,,,,,,,,,,,,,,
001001-00-1194,C15,C03,C12,C19,C08,C01,C02,,,,,,,,,,,,,,,,
001001-00-1197,C01,C15,C19,C03,C20,C21,C12,C17,,,,,,,,,,,,,,,
001001-00-1198,C01,C12,C15,C20,C03,,,,,,,,,,,,,,,,,,
001001-00-1200,C06,C14,C03,C19,C01,C15,,,,,,,,,,,,,,,,,
001001-00-1202,C02,C14,C06,C07,C04,C10,C15,C19,,,,,,,,,,,,,,,
001001-00-1205,C19,C20,C15,C12,C06,C18,C08,C01,C02,C03,,,,,,,,,,,,,
001001-00-1206,C10,C08,C21,C15,C04,C14,C06,C22,,,,,,,,,,,,,,,
001001-00-1209,C03,C19,C06,C10,C15,,,,,,,,,,,,,,,,,,
001001-00-1210,C12,C20,C19,,,,,,,,,,,,,,,,,,,,
001001-00-1212,C22,C04,C14,C08,C02,C10,,,,,,,,,,,,,,,,,
001001-00-1213,C02,C14,C06,C22,C10,C12,C08,C04,C11,C21,,,,,,,,,,,,,
001001-00-1215,C19,C14,C03,C21,C01,,,,,,,,,,,,,,,,,,
001001-00-1218,C03,C08,C21,C06,C20,C22,C12,C15,C02,,,,,,,,,,,,,,
001001-00-1219,C04,C08,C22,C10,C14,C02,C06,,,,,,,,,,,,,,,,
001001-00-1221,C19,C20,C01,C02,C03,C10,C12,C14,C15,,,,,,,,,,,,,,
001001-00-1223,C15,C01,C19,C22,,,,,,,,,,,,,,,,,,,
001001-00-1224,C14,C06,C18,C12,C10,C19,,,,,,,,,,,,,,,,,
001001-00-1226,C19,C21,C03,,,,,,,,,,,,,,,,,,,,
001001-00-1228,C03,C15,C12,,,,,,,,,,,,,,,,,,,,
001001-00-1231,C08,C10,,,,,,,,,,,,,,,,,,,,,
001001-00-1233,C06,C03,C18,,,,,,,,,,,,,,,,,,,,
001001-00-1234,C14,C19,C09,C23,C21,C05,C06,C07,C03,C02,,,,,,,,,,,,,
001001-00-1237,C10,C19,C03,C01,C21,,,,,,,,,,,,,,,,,,
001001-00-1238,C12,C10,C20,C03,C15,C01,C14,C19,C13,C11,C09,C05,C02,,,,,,,,,,
001001-00-1240,C15,C19,C01,C03,,,,,,,,,,,,,,,,,,,
001001-00-1242,C19,C15,C21,C03,,,,,,,,,,,,,,,,,,,
001001-00-1244,C03,C13,C19,,,,,,,,,,,,,,,,,,,,
001001-00-1246,C14,C10,C11,,,,,,,,,,,,,,,,,,,,
001001-00-1247,C14,C15,C12,C03,,,,,,,,,,,,,,,,,,,
001001-00-1249,C10,C19,C12,C03,,,,,,,,,,,,,,,,,,,
001001-00-1251,C06,C14,C22,C21,C23,C04,C19,C02,,,,,,,,,,,,,,,
001001-00-1254,C10,C01,C15,,,,,,,,,,,,,,,,,,,,
001001-00-1255,C08,C10,C02,C06,,,,,,,,,,,,,,,,,,,
001001-00-1256,C14,C19,C02,,,,,,,,,,,,,,,,,,,,
001001-00-1259,C04,C02,C10,C21,C08,,,,,,,,,,,,,,,,,,
001001-00-1260,C15,C19,C01,,,,,,,,,,,,,,,,,,,,
001001-00-1263,C08,C14,C21,,,,,,,,,,,,,,,,,,,,
001001-00-1265,C14,C02,C03,C08,C22,C19,C15,C01,C06,,,,,,,,,,,,,,
001001-00-1267,C10,C19,,,,,,,,,,,,,,,,,,,,,
001001-00-1269,C10,C03,C15,C19,C20,C02,C04,,,,,,,,,,,,,,,,
001001-00-1271,C03,C10,C01,C15,C20,C19,C12,,,,,,,,,,,,,,,,
001001-00-1273,C10,C12,C22,C08,C14,C15,,,,,,,,,,,,,,,,,
001001-00-1274,C14,C15,C01,C04,C06,C07,,,,,,,,,,,,,,,,,
001001-00-1276,C01,C12,C19,C15,C02,C03,C14,C20,,,,,,,,,,,,,,,
001001-00-1278,C12,C10,C20,C15,C01,C03,C13,,,,,,,,,,,,,,,,
001001-00-1280,C01,C19,C17,C15,C20,C12,C14,,,,,,,,,,,,,,,,
001001-00-1284,C12,C20,C13,C10,,,,,,,,,,,,,,,,,,,
001001-00-1285,C10,C03,,,,,,,,,,,,,,,,,,,,,
001001-00-1287,C10,C03,C15,,,,,,,,,,,,,,,,,,,,
001001-00-1289,C01,C20,C19,C15,C14,C12,C10,C03,C21,C23,C02,,,,,,,,,,,,
001001-00-1292,C10,C15,C03,C19,C21,C02,C08,,,,,,,,,,,,,,,,
001001-00-1293,C14,C04,C12,,,,,,,,,,,,,,,,,,,,
001001-00-1295,C22,C19,C14,C03,C06,C08,C04,C01,,,,,,,,,,,,,,,
001001-00-1297,C21,C10,C03,C14,C12,C08,,,,,,,,,,,,,,,,,
001001-00-1300,C10,C12,C03,,,,,,,,,,,,,,,,,,,,
001001-00-1301,C21,C03,C19,C10,C12,,,,,,,,,,,,,,,,,,
001001-00-1304,C14,C06,C02,C04,C19,C15,C03,C22,,,,,,,,,,,,,,,
001001-00-1305,C13,C03,,,,,,,,,,,,,,,,,,,,,
001001-00-1307,C02,C14,C08,C06,,,,,,,,,,,,,,,,,,,
001001-00-1308,C03,C19,C15,C13,C14,C12,C10,C01,C02,C17,C20,C21,C05,C06,C07,C08,C09,C11,C16,C18,C22,C23,C04
001001-00-1310,C14,C19,C06,C21,C08,C15,C22,C11,C02,C04,,,,,,,,,,,,,
001001-00-1312,C19,C20,C21,C12,C14,C15,C01,C02,C06,C17,,,,,,,,,,,,,
001001-00-1315,C03,C21,C12,C01,C10,,,,,,,,,,,,,,,,,,
001001-00-1317,C20,C12,C11,C13,C16,C04,,,,,,,,,,,,,,,,,
001001-00-1319,C15,C04,C01,C12,C19,C03,C20,C21,,,,,,,,,,,,,,,
001001-00-1320,C15,C01,C19,C03,C21,C12,C04,C20,,,,,,,,,,,,,,,
001001-00-1322,C03,C21,C02,C14,,,,,,,,,,,,,,,,,,,
001001-00-1325,C19,C01,C15,C12,C03,C20,C10,,,,,,,,,,,,,,,,
001001-00-1326,C17,C12,C02,C19,C20,,,,,,,,,,,,,,,,,,
001001-00-1329,C10,C03,C12,C15,C20,C17,C19,C02,C01,,,,,,,,,,,,,,
001001-00-1331,C20,C15,C01,C03,C10,C12,,,,,,,,,,,,,,,,,
001001-00-1333,C12,C19,C15,C20,,,,,,,,,,,,,,,,,,,
001001-00-1334,C10,C04,C01,C19,C14,,,,,,,,,,,,,,,,,,
001001-00-1336,C10,C04,C02,C08,C14,C15,C16,C17,C21,,,,,,,,,,,,,,
001001-00-1338,C14,C23,C18,C03,C04,C06,C20,C19,,,,,,,,,,,,,,,
001001-00-1340,C10,C03,C21,,,,,,,,,,,,,,,,,,,,
001001-00-1342,C04,C08,C14,C02,C17,C11,C22,C07,C06,C09,C23,C05,C18,C21,C16,,,,,,,,
001001-00-1344,C21,C14,,,,,,,,,,,,,,,,,,,,,
001001-00-1346,C21,C15,C03,C19,,,,,,,,,,,,,,,,,,,
001001-00-1348,C14,C06,C10,C08,C04,C15,C12,C03,,,,,,,,,,,,,,,
001001-00-1350,C06,C08,C21,C13,,,,,,,,,,,,,,,,,,,
001001-00-1352,C02,C21,C04,C06,C03,C22,C14,C10,,,,,,,,,,,,,,,
001001-00-1353,C20,C15,C19,,,,,,,,,,,,,,,,,,,,
001001-00-1355,C15,C20,C19,,,,,,,,,,,,,,,,,,,,
001001-00-1356,C19,C01,C03,C02,C23,C22,C18,C17,C15,C16,,,,,,,,,,,,,
001001-00-1358,C04,C14,C08,C02,C06,,,,,,,,,,,,,,,,,,
001001-00-1360,C19,C01,C09,C03,C14,C12,C02,,,,,,,,,,,,,,,,
001001-00-1362,C10,,,,,,,,,,,,,,,,,,,,,,
001001-00-1364,C10,C11,C18,C02,C12,C01,C22,C14,C03,C08,,,,,,,,,,,,,
001001-00-1367,C10,C12,C02,,,,,,,,,,,,,,,,,,,,
001001-00-1369,C10,C19,C21,C03,C02,,,,,,,,,,,,,,,,,,
001001-00-1371,C19,C03,C09,,,,,,,,,,,,,,,,,,,,
001001-00-1373,C06,C08,C14,C01,C10,C12,,,,,,,,,,,,,,,,,
001001-00-1374,C19,C14,C03,C12,C01,C10,C02,C15,C20,C21,,,,,,,,,,,,,
001001-00-1376,C03,C12,C15,C10,C19,C05,C08,C14,,,,,,,,,,,,,,,
001001-00-1377,C09,C06,,,,,,,,,,,,,,,,,,,,,
001001-00-1378,C04,C02,C16,C10,C15,C12,C06,,,,,,,,,,,,,,,,
